Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Full Description,Description,Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Company Type,Investor Type,Investment Stage,Categories,Funding Status,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Number of Investors,Acquisition Status,Number of Exits (IPO),Number of Portfolio Organizations,CB Rank (Investor),Trend Score (90 Days)
Alternate Health,https://www.crunchbase.com/organization/alternate-health,1,,"San Antonio, Texas, United States","Alternate Health is a diversified healthcare company that uses its expertise in technology to revolutionize patient care and service delivery in both traditional and complementary medical fields.   Alternate Health offers services ranging from medical practice and controlled substance management software to blood analysis and toxicology labs, to clinical research and continuing education programs. Alternate Health’s goal is to continue to lead the medical industry with data-driven results in patient care and product development.",Alternate Health is a diversified healthcare investment and Holdings Company.,,Active,1/25/2017,day,1/1/2014,year,For Profit,,,"Alternative Medicine, Health Care, Medical, Medical Device",IPO,11/8/2018,2,20000000,USD,20000000,Post-IPO Debt,25552511,USD,25552511,7500000,CAD,5552511,1,,,1,"2,787",-0.4
Vanderbilt University,https://www.crunchbase.com/organization/vanderbilt-university,2,,"Nashville, Tennessee, United States","Vanderbilt University is a top private research university of about 6,500 undergraduates and 5,300 graduate and professional students. It is home to Peabody College, currently ranked the #1 Graduate School of Education according to US News and World Report. The university comprises 10 schools, a distinguished medical center, a public policy center and The Freedom Forum First Amendment Center. Vanderbilt offers undergraduate programs in the liberal arts and sciences, engineering, music, education and human development as well as a full range of graduate and professional degrees. The university is consistently ranked as one of the nation's top 20 universities by publications such as U.S. News & World Report, with several programs and disciplines ranking in the top 10.",Vanderbilt University is a Nashville-based private research university offering various learning programs.,,Active,,,1873-01-01,year,,University Program,,"E-Learning, Education, Health Care, Higher Education, Medical",,11/7/2018,6,4500000,USD,4500000,Grant,28552273,USD,28552273,,,,5,,,2,525,-1.7
CSPC Pharmaceutical Group,https://www.crunchbase.com/organization/cspc-pharmaceutical-group,2,,"Shijiazhuang, Hebei, China","CSPC Pharmaceutical Group Limited (""CSPC"") (Stock code: 1093.HK) is a leading pharmaceutical group in China. The Company has been listed on the Main Board of the Hong Kong Stock Exchange since 1994. CSPC is a constituent stock of the ""Hang Seng Composite Index"", ""Hang Seng Healthcare Index"", ""Hang Seng Mainland Healthcare Index"", ""Hang Seng Stock Connect Hong Kong Index"" and ""Hang Seng China (Hong Kong-listed) 100 Index"" and ""Hang Seng China Enterprises Index"". CSPC has three major business segments including innovative drugs, common generic drugs and bulk drugs. The Group focuses on the manufacturing, researching and marketing of medicines and pharmaceutical related products. The Group has nearly 1,000 finished drugs products including antibiotics, cardio-cerebrovascular drugs, antipyretic analgesic drugs, digestive system drugs, oncology drugs and traditional Chinese medicine. Of which, ""NBP"", ""Oulaining"", ""Xuanning"". ""Duomeisu"", ""Jinyouli"" and ""Nuolining"" are the bestselling innovative drugs products of the Group in China. Bulk drugs products include antibiotics, vitamin C and caffeine series. The manufacturing facilities of CSPC are mainly located in Shijiazhuang City, Hebei Province, China.",CSPC Pharmaceutical Group is a pharmaceutical group in China.,,Active,,,,,,,,"Biotechnology, Manufacturing, Pharmaceutical, Therapeutics",,10/31/2018,1,,,,Corporate Round,,,,,,,,,,2,"20,872",2.2
Penn Medicine,https://www.crunchbase.com/organization/penn-medicine,4,,"Philadelphia, Pennsylvania, United States","Penn Medicine, someone will make a breakthrough. Someone will heal a heart, deliver hopeful news, give comfort and reassurance. Today, a Penn physician, scientist, nurse, technician or social worker will find another way to heal or help, unlock medical science that can give the gift of more time and change the course of human life.","Penn Medicine is the medical school of the University of Pennsylvania, providing medical research and education services.",$50M to $100M,Active,,,1/1/2009,year,For Profit,,,"Biotechnology, Education, Health Care, Medical, Training",,10/30/2018,3,17500000,USD,17500000,Grant,41500000,USD,41500000,,,,2,,,4,"1,674",-1.8
Sarepta Therapeutics,https://www.crunchbase.com/organization/sarepta-therapeutics,2,1,"Cambridge, Massachusetts, United States","Sarepta Therapeutics – formerly AVI BioPharma – remains focused on developing first-in-class, RNA-based therapeutics to improve and save the lives of people affected by serious and life-threatening rare and infectious diseases. Sarepta’s unique technology has yielded a diverse pipeline of RNA-based therapeutics that include their lead clinical candidate, eteplirsen, for the treatment of Duchenne muscular dystrophy, a debilitating and life-threatening genetic disorder, as well as potential treatments for some of the world’s most lethal infectious diseases.","Sarepta Therapeutics – formerly AVI BioPharma – remains focused on developing first-in-class, RNA-based therapeutics to improve and save",,Active,6/4/1997,day,1/1/1980,year,For Profit,,,"Biotechnology, Genetics, Health Care, Therapeutics",IPO,10/23/2018,3,90000000,USD,90000000,Post-IPO Equity,230000000,USD,230000000,90000000,USD,90000000,1,Made Acquisitions,1,2,245,4.3
Compugen,https://www.crunchbase.com/organization/compugen,2,1,"Tel Aviv, Tel Aviv, Israel","Compugen is a drug and diagnostic discovery company providing novel product candidates addressing important unmet therapeutic and diagnostic needs to pharmaceutical, biotech and diagnostic companies under milestone and royalty bearing, or other revenue sharing agreements. Unlike traditional high throughput trial and error experimental based discovery, Compugen's discovery efforts consist of in silico (by computer) hypothesis-driven product candidate prediction and selection followed by in vitro and in vivo experimental validation. Compugen's unique in silico prediction and selection capabilities are based on a broad and continuously growing infrastructure of proprietary scientific understandings and predictive platforms, algorithms, machine learning systems and other computational biology tools. Industry collaborations may be entered into before product candidate discovery is undertaken pursuant to ""discovery on demand"" type arrangements, or with respect to existing product candidates, can be initiated prior to, or at the proof of concept stage, or after selected preclinical activities have been undertaken by Compugen. In 2002, Compugen established an affiliate, Evogene Ltd. (TASE: EVGN.TA) - to utilize certain of the Company's in silico predictive discovery capabilities in agricultural biotechnology.","Compugen is a drug and diagnostic discovery company, addressing important unmet therapeutic and diagnostic needs.",,Active,7/6/2000,day,2/1/1993,month,For Profit,,,"Cloud Computing, Health Care, Information Technology, Professional Services, Project Management",IPO,10/11/2018,2,12000000,USD,12000000,Post-IPO Equity,47400000,USD,47400000,47400000,USD,47400000,3,,1,1,"1,804",2.5
Beyond Meat,https://www.crunchbase.com/organization/beyond-meat,,,"Manhattan Beach, California, United States","Beyond Meat is planting The Future of Protein. Delicious, 100% plant-based products without the health and other downsides of animal protein.",Beyond Meat is planting The Future of Protein.,$10M to $50M,Active,5/2/2019,day,1/1/2009,year,For Profit,,,"Food and Beverage, Food Processing, Health Care",IPO,10/5/2018,7,50000000,USD,50000000,Series H,122000000,USD,122000000,122000000,USD,122000000,15,,,,14,-0.4
aMoon Fund,https://www.crunchbase.com/organization/amoon,12,,"Ra'anana, HaMerkaz, Israel","aMoon is a leading healthtech & life sciences venture fund founded by Marius Nacht and Dr. Yair Schindel. Their team is passionate about building successful businesses and helping biopharma, digital health and medical technology companies realize their potential. They partner with management teams who use technology and cutting-edge science to accelerate cures for the world’s most life-threatening conditions and those providing solutions for global healthcare’s biggest cost drivers.",aMoon is a leading healthtech & life sciences venture capital firm.,,Active,,,1/1/2016,year,,Angel Group,,"Biotechnology, Financial Services, Health Care, Venture Capital",Early Stage Venture,9/25/2018,1,,,,Series A,,,,,,,,,,12,"4,911",-0.1
uBiome,https://www.crunchbase.com/organization/ubiome,1,,"San Francisco, California, United States","uBiome is a citizen science startup that sequences the human microbiome. As the first and largest successful crowdsourced citizen science project in history, we allow the public access to cutting edge sequencing technology and are building a data platform to gather, analyze, and translate data about the human microbiome.  We have developed the first sequencing-based, clinical microbiome tests and are committed to empowering patients and their healthcare providers to understand and take greater control of their health. We provide actionable insights and information to help foster understanding about the microbiome and the role it plays in health and wellness. union's mission is to transform research into useful products based on the microbiome. uBiome is the world’s first effort to map the human microbiome with citizen science. While the sequencing of the human genome has provided invaluable knowledge, it is very difficult to change their own genetic makeup. The microbiome, in contrast, is much more easily changed through simple means such as healthful probiotic cultures and other lifestyle interventions. The microbiome thus may provide some of the most important medical breakthroughs of their era. uBiome will ultimately empower participants to manage their microbiomes to improve their health as well as make important scientific discoveries for humanity.",uBiome is a citizen science startup that sequences the human microbiome.,$10M to $50M,Active,,,11/1/2012,day,For Profit,,,"Health Care, Machine Learning, Quantified Self",Late Stage Venture,9/21/2018,9,83000000,USD,83000000,Series C,109851193,USD,109851193,109500000,USD,109500000,23,,,1,155,-1.4
arGEN-X,https://www.crunchbase.com/organization/argen-x,1,1,"Rotterdam, Zuid-Holland, The Netherlands","To this end, arGEN-X has invented and developed a breakthrough discovery platform setting the new standard for antibody lead choice in the discovery of human antibody therapeutics. Fuelled by the best possible natural immune responses available, our Simple Antibodyâ„¢ platform leapfrogs existing platforms in what is probably the most critical aspect of drug discovery and development: lead choice.",arGEN-X offers a platform for antibody lead choice that supports the discovery of human antibody therapeutics.,,Active,5/17/2017,day,1/1/2008,year,For Profit,,,"Biotechnology, Clinical Trials, Therapeutics",IPO,9/19/2018,6,300600000,USD,300600000,Post-IPO Equity,398260430,USD,398260430,396588697,USD,396588697,15,,1,1,"1,482",2.3
Cyclops Medtech,https://www.crunchbase.com/organization/cyclops,1,,"Bangalore, Karnataka, India","Cyclops MedTech Pvt. Ltd. is a Bangalore, India based start-up working on clinical and wearable diagnostic and rehabilitation products for neuro vestibular disorders using eye tracking technology.    Our first product, BalanceEye is a clinical diagnostic device for balance assessment and to find out the root cause for dizziness. Dizziness is a very common symptom and the causes vary. But if analysed properly, it can provide tell tale signs to what's happening in a patient's neuro vestibular system. Such diagnosis can help prevent strokes, detect tumors early and set right chronic balance problems. Through our device, we are finding out the root cause for dizziness with high degree of precision. Launched in March 2017, we have 46 paid installations across 26 cities in 3 countries.  We are building 2 other products in the neuro vestibular space.",Medtech startup working on clinical and wearable diagnostic and rehab products for neuro vestibular disorders using eye tracking technology.,,Active,,,1/29/2015,day,For Profit,,,"Health Care, Health Diagnostics, Internet of Things, Life Science, Machine Learning, Medical, Medical Device",Seed,9/19/2018,2,1000000,USD,1000000,Seed,1000000,USD,1000000,1000000,USD,1000000,3,,,1,"3,026",-0.1
BrainLAB,https://www.crunchbase.com/organization/brainlab,3,1,"Munich, Bayern, Germany","BrainLAB is committed to providing truly innovative software that will leverage physicians' skills, providing patients with consistently better, standardized and more cost-effective healthcare. BrainLAB intends to become the leading provider of software for minimally invasive therapies as well as for cancer treatment.",BrainLAB provides truly innovative software.,$100M to $500M,Active,,,1/1/1989,year,For Profit,,,"Health Care, Medical Device, Software",Private Equity,9/17/2018,2,,,,Private Equity,7300000,USD,7300000,7300000,USD,7300000,2,Made Acquisitions,1,2,"4,622",4.1
Viroad Biotechnology,https://www.crunchbase.com/organization/hebei-viroad,1,1,"Shijiazhuang, Hebei, China",,Viroad Biotechnology is a Chinese Cancer Diagnosis Firm .,,Active,,,1/1/2012,year,,,,"Biotechnology, Medical",Early Stage Venture,9/14/2018,3,14600000,USD,14600000,Series B,19420771,USD,19420771,19420771,USD,19420771,3,Made Acquisitions,1,1,"4,404",1.7
Horizon Discovery,https://www.crunchbase.com/organization/horizon-discovery,1,,"Cambridge, Cambridgeshire, United Kingdom","Horizon Discovery Group PLC is a UK life science company that uses gene editing and gene modulation platforms to produce cells, applying them in research and clinical applications that advance human health. The Company’s gene editing and gene modulation platform, are able to alter almost any DNA sequence or RNA transcription, has generated a catalogue of over 1,000,000 cell and reagent products that help researchers recapitulate the genetic and protein anomalies found in diseases like cancer. These models have been adopted by c12,000 organizations to better understand of the predictors and drivers of disease and drug response, and by Horizon in a range of services offered to customers, as well as in the Company’s own research R&D pipeline.","Horizon is a world-leading gene editing company that designs & engineers genetically-modified cells, applying them to advance human health.",,Active,3/28/2014,day,6/1/2007,month,For Profit,,,"Biopharma, Biotechnology, Genetics, Health Diagnostics",IPO,9/7/2018,7,,,,Post-IPO Equity,57111176,USD,57111176,57111176,USD,57111176,15,Made Acquisitions,,1,"1,592",1.3
Georgia Tech Research Corporation,https://www.crunchbase.com/organization/georgia-tech-research-corporation,2,1,"Atlanta, Georgia, United States",,Georgia Tech Research Corporation,,Active,,,1/1/1937,year,Non-profit,,,"Association, Biotechnology, Information Technology, Non Profit",,9/5/2018,1,1200000,USD,1200000,Grant,1200000,USD,1200000,,,,1,,1,2,"3,637",3.5
FluidEdge Consulting,https://www.crunchbase.com/organization/fluidedge-consulting,,,"Malvern, Pennsylvania, United States",,FluidEdge Consulting is an information technology company that offers healthcare IT and operational services.,$10M to $50M,Active,,,,,,,,"Consulting, Health Care, Information Technology",Private Equity,8/28/2018,1,,,,Private Equity,,,,,,,1,,,,"32,488",-0.8
Cleveland BioLabs,https://www.crunchbase.com/organization/cleveland-biolabs,2,,"Buffalo, New York, United States",Cleveland BioLabs (Nasdaq:CBLI) is a biotechnology company leveraging its proprietary discoveries around programmed cell death to develop a robust pipeline of drugs for multiple medical and defense applications.,Cleveland BioLabs is focused on oncology and orphan drug development.,,Active,7/28/2006,day,1/1/2003,year,,,,"Biotechnology, Health Care, Medical",IPO,8/16/2018,8,10500000,USD,10500000,Post-IPO Equity,76926557,USD,76926557,76926557,USD,76926557,2,,,1,"3,085",0
Canopy Growth,https://www.crunchbase.com/organization/canopy-growth,3,2,"Smiths Falls, Ontario, Canada","Canopy Growth is publicly traded on the TSX and a leading diversified producer of medical cannabis through its wholly owned subsidiaries Tweed, Bedrocan Canada, and Tweed Farms. The Company operates a collection of diverse brands and curated strain variety, supported by over half a million square feet of indoor and greenhouse production capacity.",Canopy Growth is a diversified producer of medical cannabis.,,Active,7/27/2016,day,1/1/2014,year,For Profit,,,"Cannabis, Health Care, Medical, Pharmaceutical",IPO,8/15/2018,4,5000000000,CAD,3803018836,Post-IPO Equity,4204420985,USD,4204420985,3829018836,USD,3829018836,1,Made Acquisitions,2,3,377,5.4
Neurotechnology Investors (NTI),https://www.crunchbase.com/organization/neurotechnology-investors-nti,1,,"Palo Alto, California, United States",Neurotechnology Investors (NTI) provides health care facilities and services.,Neurotechnology Investors (NTI) provides health care facilities and services.,,Active,,,1/1/2016,year,,,,"Health Care, Neuroscience, Service Industry",,8/15/2018,3,1145000,USD,1145000,Venture - Series Unknown,2804500,USD,2804500,2804500,USD,2804500,,,,1,"4,776",0
Oscar Health,https://www.crunchbase.com/organization/oscar,1,,"New York, New York, United States","Oscar is a health insurance company that employs technology, design, and data to humanize health care. The company offers plans to individuals, couples, and families living in parts of New York, New Jersey, California, and Texas who don’t receive health insurance from an employer. Founded in 2012, Oscar Health is headquartered in New York, New York, United States.","Oscar is a health insurance company that employs technology, design, and data to humanize health care.",$50M to $100M,Active,,,11/1/2012,day,For Profit,,,"Health Care, Health Insurance, Information Technology, Insurance, InsurTech",,8/14/2018,8,375000000,USD,375000000,Corporate Round,1267500000,USD,1267500000,1267500000,USD,1267500000,21,,,1,83,6
Johns Hopkins University,https://www.crunchbase.com/organization/johns-hopkins-university,4,,"Baltimore, Maryland, United States","Since its founding in 1876, Johns Hopkins University (JHU) has remained true to its mission, Knowledge for the World. JHU is a world leading research and teaching university that believes education should be grounded in exploration and discovery. Critical Thinking, problem solving, creativity and more are encouraged at Johns Hopkins. The University has several campuses in the Baltimore and Washington, D.C. area, and a few international campuses as well. The Homewood campus is the main campus, and is located in northern Baltimore. JHU offers undergraduate and graduate programs across its various schools, including the schools of Education, Business, Medicine, Nursing, Engineering, and more. There are dozens of majors to choose from. The university also offers some distance learning opportunities, both online and also off campus. In addition, the school offers part-time and summer programs to offer more flexibility for students. There are plenty of residency options available to students, with several buildings to choose from offering suites and apartments. Tuition at Johns Hopkins University varies by program, and non-residents pay the same price as residents. Financial aid is available to qualified students in the form of grants, scholarships, loans, and more.","Johns Hopkins University is a private research university based in Baltimore, Maryland.",,Active,,,1876-01-01,year,,,,"EdTech, Education, Health Care, Higher Education, Mechanical Engineering, Social Entrepreneurship, Training, Universities",,8/8/2018,3,30000000,USD,30000000,Grant,185000000,USD,185000000,65000000,USD,65000000,2,,,3,229,-1.5
GoodRx,https://www.crunchbase.com/organization/goodrx,2,1,"Santa Monica, California, United States","GoodRx is the first and only prescription drug price comparison tool created for consumers with prices from pharmacies nationwide.  GoodRx's founders are seasoned technology executives who were early employees at Facebook, Yahoo and other successful companies.",GoodRx believes prescription drugs should be affordable and convenient for everyone.,$1M to $10M,Active,,,1/1/2011,year,For Profit,,,"Health Care, Medical, Pharmaceutical",Private Equity,8/6/2018,3,,,,Private Equity,1500000,USD,1500000,1500000,USD,1500000,10,Made Acquisitions,1,2,224,8.8
Blueboard,https://www.crunchbase.com/organization/blueboard,,,"San Francisco, California, United States","The Blueboard rewards platform allows companies to reward their employees to curated experiences and activities with the click of a button – things like skydiving, wine tasting, massage and mixology.  Our clients love the fact that we've made memorable and meaningful recognition as easy as sending a gift card. Companies look great to their employees by sending rewards through our platform. ",Blueboard is the experiential rewards and recognition platform for the modern workplace.,,Active,,,1/1/2014,year,For Profit,,,"Enterprise Software, Health Care, Human Resources, Lifestyle",Seed,8/1/2018,3,4500000,USD,4500000,Seed,6575000,USD,6575000,6575000,USD,6575000,11,,,,"1,167",0.5
Oklahoma Medical Research Foundation,https://www.crunchbase.com/organization/oklahoma-medical-research-foundation,1,,"Snyder, Oklahoma, United States","OMRF is the Oklahoma Medical Research Foundation. We are dedicated to fighting Alzheimer’s, heart disease, lupus, MS, cancer and other devastating illnesses.","Oklahoma Medical Research Foundation is a foundation for Alzheimer's, heart disease, cancer and other devastating illnesses.",$50M to $100M,Active,,,1/1/1946,year,,,,"Biotechnology, Medical, Non Profit",,7/31/2018,3,934000,USD,934000,Grant,17534000,USD,17534000,,,,2,,,1,"2,868",6.3
ClassPass,https://www.crunchbase.com/organization/classpass,,,"New York, New York, United States","ClassPass is a subscription marketplace that lets users find and book fitness classes. With over 8,500 partners in 49 cities worldwide, ClassPass connects members to a variety of fitness experiences, including yoga, cycling, Pilates, barre, running, strength training, dance, sports, videos and more. Recognized as one of Forbes's Next Billion Dollar Startups, ClassPass leverages proprietary technology to dynamically merchandise and surface over a million fitness classes for a seamless booking experience that facilitates discovery.",ClassPass is a subscription marketplace that lets users find and book fitness classes.,,Active,,,1/1/2013,year,For Profit,,,"Consumer Applications, Fitness, Health Care, Subscription Service",Late Stage Venture,7/25/2018,7,85000000,USD,85000000,Series D,239000000,USD,239000000,239000000,USD,239000000,37,Made Acquisitions,,,117,7.8
Alector,https://www.crunchbase.com/organization/alector,1,1,"San Francisco, California, United States","Alector is combining state-of-the-art antibody technology and recent discoveries in neuroimmunology and human genetics to develop novel therapeutics for Alzheimer’s disease, other forms of dementia, and mechanistically related neurodegenerative disorders. Alector’s strategy is to efficiently generate and validate antibody drugs with unique functional properties that engage key disease-altering targets. This approach is enabled by a strategic alliance with Adimab, the industry leader in discovery and optimization of antibody therapeutics. Alector is currently developing leads for 4 major targets and anticipates taking 2 of these through pre-clinical development and IND enabling studies within 24 months. Alector has incorporated a highly integrated and lean biotechnology structure with extensive outsourcing that supports core scientific and management teams.",Alector is combining state-of-the-art antibody technology and recent discoveries in neuroimmunology and human genetics to develop novel.,,Active,2/7/2019,day,1/1/2013,year,For Profit,,,"Biotechnology, Genetics, Health Care, Therapeutics",IPO,7/25/2018,5,133000000,USD,133000000,Series E,194500000,USD,194500000,194500000,USD,194500000,19,,1,1,727,-1.2
NationalAccessCannabis,https://www.crunchbase.com/organization/nationalaccesscannabis,1,1,"Ottawa, Ontario, Canada","They are dedicated to health and to working in consultation with health professionals.  They are committed to responsibility, through their secure non-transferable medical cannabis access card system. A system they are establishing in consultation with law enforcement to achieve national recognition. ",A unique Health Care service provider.,,Active,5/12/2016,day,1/1/2014,year,,,,"Association, Cannabis, Consulting, Fitness, Health Care, Non Profit",IPO,7/23/2018,1,35000000,USD,35000000,Post-IPO Debt,35000000,USD,35000000,,,,1,Made Acquisitions,1,1,"3,545",-0.1
IndieBio,https://www.crunchbase.com/organization/synbio-axlr8r,170,2,"San Francisco, California, United States",IndieBio is the world’s first accelerator devoted to startups using biology to solve the world's largest problems.,IndieBio is the largest biotech startup accelerator.,,Active,,,11/1/2014,day,,Accelerator,Seed,"Biotechnology, Finance, Venture Capital",,7/19/2018,1,25000000,USD,25000000,Grant,25000000,USD,25000000,,,,,,2,112,71,-1.5
Kaiser Permanente,https://www.crunchbase.com/organization/kaiser-permanente,4,1,"Oakland, California, United States","Kaiser Permanente offers nonprofit healthcare plans. The company provides preventive care, well-baby and prenatal care, immunizations, emergency care, screening diagnostics, hospital and medical, and pharmacy services. It offers its services in California, Colorado, Georgia, Hawaii, Ohio, Oregon, Washington, and the District of Columbia.  Kaiser Permanente was formerly known as Permanente Health Plan and changed its name in 1951. The company was founded in 1945 and is headquartered in Oakland, California.",Kaiser Permanente is committed to helping shape the future of health care recognized as one of America's leading health care provider.,$10B+,Active,,,1/1/1945,year,For Profit,,,"Biotechnology, Health Care, Health Diagnostics, Medical",,7/17/2018,2,82700,USD,82700,Grant,7482700,USD,7482700,,,,,Made Acquisitions,1,4,170,-2.9
Hospital for Special Surgery,https://www.crunchbase.com/organization/hospital-for-special-surgery,2,,"New York, New York, United States",,Hospital for special surgery is the top ranked new york hospital for orthopedics and rheumatology.,$1B to $10B,Active,,,1863-01-01,year,,,,"Health Care, Medical",,7/16/2018,1,5600000,USD,5600000,Grant,5600000,USD,5600000,,,,,,,1,"1,816",-1.3
Mesoblast,https://www.crunchbase.com/organization/mesoblast,1,1,"Melbourne, Victoria, Australia","Mesoblast Limited is a world leader in the development of biologic products for the broad field of regenerative medicine. Mesoblast's patented Mesenchymal Precursor Cell (MPC) technology is being developed for an extensive range of major clinical diseases, including inflammatory and immunologic conditions of the joints and lungs, diabetes and kidney disease, orthopedic spine conditions, and cardiovascular disorders.",Mesoblast Limited is a world leader in the development of biologic products for the broad field of regenerative medicine.,,Active,3/14/2013,day,1/1/2004,year,,,,"Biotechnology, Health Care, Health Diagnostics",IPO,7/3/2018,2,50000000,USD,50000000,Post-IPO Equity,56200000,USD,56200000,56200000,USD,56200000,2,Made Acquisitions,1,1,"1,130",4.1
AmWINS Group,https://www.crunchbase.com/organization/amwins-group,1,,"Charlotte, North Carolina, United States","AmWINS Group, Inc. (“AmWINS”) has been a leader in the wholesale insurance industry since its formation in 1998. The firm is headquartered in Charlotte, North Carolina and has 98 locations across 17 countries, including 72 in the United States.  The firm has expertise across a diversified mix of property, casualty and group benefits products. AmWINS also offers value-added services to support some of these products, including product development, underwriting, premium and claims administration and actuarial services.   With more than 3,300 employees, AmWINS is an amalgamation of 30+ wholesale brokerage, underwriting and group benefit operations which have been acquired over the course of 12 years.  The firm currently receives more than 675,000 submissions a year from retail insurance agents across the United States. More than $10.2 billion in premium placements makes AmWINS the largest wholesale broker in the U.S. as ranked by Business Insurance magazine.  AmWINS has extensive relationships with more than 20,000 retail insurance brokerage firms and more than 1,500 insurance underwriting firms.",AmWINS Group has been a leader in the wholesale insurance industry since its formation in 1998.,,Active,9/16/2005,day,1/1/1998,year,For Profit,,,"Health Care, Insurance, Logistics",M&A,7/3/2018,4,10130454,USD,10130454,Venture - Series Unknown,43543491,USD,43543491,43543491,USD,43543491,2,"Made Acquisitions, Was Acquired",,1,"1,697",-0.4
Vivakor,https://www.crunchbase.com/organization/vivakor,1,,"Irvine, California, United States","Vivakor, Inc., a transdisciplinary biomedical company, engages in the discovery, development, and commercialization of a range of medical devices and pharmaceuticals to improve human health. Vivakor, Inc. was founded in 2006","Vivakor, a biomedical company, focuses on the R&D of a range of medical devices and pharmaceuticals to improve human health.",,Active,9/9/2009,day,1/1/2006,year,,,,"Biotechnology, Medical Device, Pharmaceutical",IPO,6/29/2018,3,1459588,USD,1459588,Venture - Series Unknown,4199463,USD,4199463,3522463,USD,3522463,,,,1,"5,371",-0.1
Livzon Mabpharm,https://www.crunchbase.com/organization/livzon-mabpharm,1,1,"Zhuhai, Guangdong, China",,"Livzon Mabpharm is a Chinese biotechnology company focused on the development, manufacture, and sale of antibody-based drugs.",,Active,,,1/1/2010,year,,,,"Biotechnology, Health Care",Early Stage Venture,6/27/2018,1,,,,Series A,,,,,,,2,,1,1,"46,312",-0.6
University of California Davis,https://www.crunchbase.com/organization/university-of-california-davis,2,,"Davis, California, United States","UC Davis is one of the nation's top public research universities. As one of 10 campuses of the world's pre-eminent public university system, the University of California, we are located in the heart of the Central Valley, close to the state capital and San Francisco Bay Area. UC Davis lays claim to being one of the few remaining college towns where we cherish our close relationships on campus and within the Davis community.",Member of Elite Alumni,,Active,,,1/1/1905,year,,,,"Biotechnology, Education, Medical",,6/26/2018,1,,,,Venture - Series Unknown,,,,,,,1,,,2,"5,102",-0.4
iSELECT FUND,https://www.crunchbase.com/organization/iselectfund,44,2,"St Louis, Missouri, United States",The iSELECT FUND provides accredited clients of financial advisors with access to a diversified portfolio of promising early-stage private ventures that have been evaluated by an elite committee of accomplished entrepreneurs and venture investors.,The first personalized private venture fund for accredited investors,,Active,,,12/12/2013,day,,Angel Group,"Early Stage Venture, Late Stage Venture, Seed","Advanced Materials, AgTech, Biotechnology, Finance, Health Care, National Security, Venture Capital",Seed,6/15/2018,1,,,,Seed,,,,,,,,,2,29,"4,426",1.4
Quantum Surgical,https://www.crunchbase.com/organization/quantum-surgical,,,"Chattanooga, Tennessee, United States","Quantum Surgical strives to be recognized as the premier distributor of innovative spinal products in the Great Lakes by delivering their customers the best clinical solutions, coupled with an unparalleled commitment to service. Their goal is to represent unique spinal products and treatment options that benefit physicians and patients throughout the continuum of care.",Quantum Surgical strives to be recognized as the premier distributor of innovative spinal products.,,Active,,,1/1/2011,year,For Profit,,,"Health Care, Medical, Medical Device",Early Stage Venture,6/3/2018,2,,,,Series A,500000,USD,500000,500000,USD,500000,4,,,,"4,233",-0.4
WeDoctor,https://www.crunchbase.com/organization/guahao,1,,"Xiaoshan, Zhejiang, China","WeDoctor is the world's leading medical health technology platform, created by Liao Jieyuan and his team in 2010. With the mission of “not getting medical care and being healthy and healthy”, WeDoctor is committed to using technology to empower medical care, driving the “medical insurance” ecological upgrade, and building a world-leading HMO (Health Maintenance Organization) platform to provide users with The new medical and health services of “online + offline, general + specialist” have become the health gatekeepers of hundreds of millions of families.",WeDoctor is the world's leading medical health technology platform.,$10M to $50M,Active,,,1/1/2010,year,For Profit,,,"Health Care, Hospitality, Internet, Medical",Late Stage Venture,5/30/2018,5,,,,Series F,1020500000,USD,1020500000,1020500000,USD,1020500000,11,,,1,"2,619",-0.1
The Pfizer Foundation,https://www.crunchbase.com/organization/the-pfizer-foundation,,,"New York, New York, United States","Their purpose is grounded in their commitment to fund programs that provide public benefit, advance medical care and improve patient outcomes. Their belief is that all people deserve to live healthy lives. This drives their desire to provide access to medicines that are safe, effective, and affordable.",The Pfizer Foundation is a charitable organization established by Pfizer Inc.,,Active,,,,,,,,"Health Care, Medical Device, Therapeutics",,5/30/2018,1,5000000,USD,5000000,Grant,5000000,USD,5000000,,,,,,,,"7,596",-0.3
Purdue Pharma,https://www.crunchbase.com/organization/purdue-pharma,5,2,"Stamford, Connecticut, United States","Purdue Pharma, a private company founded by physicians, is committed to advancing the medical care of patients with quality products that make a positive impact on healthcare—and on lives. Purdue combines science with compassionate care to provide medical products of value to patients and the healthcare system. We are committed to improving the therapies that healthcare professionals rely on to treat and manage disease. Beyond the medications we make, we dedicate vast resources to educational programs, partnerships, and resources for healthcare professionals, patients, and caregivers.","Purdue Pharma L.P., a pharmaceutical company committed to improving patients' lives and serving the healthcare community.",$100M to $500M,Active,,,1892-01-01,year,For Profit,,,"Biotechnology, Health Care",,5/29/2018,1,1800000,USD,1800000,Grant,1800000,USD,1800000,,,,1,,2,2,138,7.3
