investor_name,Number of Investments,Location,Full Description,Exit Date,Categories,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Liquidity Event Score,Funding Date Score,Total Score,Rank
Lepu Bio,1,"Shanghai, Shanghai, China",,,"Biotechnology, Health Care",7/2/2019,131000000,Series A,0,257,131000257,55
MorphoSys,1,"Planegg, Bayern, Germany","MorphoSys AG is a biotechnology companies focusing on fully human antibodies. With its unique technologies, MorphoSys is developing the next generation of antibodies, which can be used to treat diseases and for research and diagnostics purposes. Numerous partnerships have already been entered into with well-known companies from the pharmaceutical and biotechnology sectors, such as Boehringer Ingelheim, Daiichi Sankyo, Merck & Co, Novartis, Pfizer, and Roche.",4/18/2018,"Biotechnology, Health Diagnostics, Medical",11/6/2016,127558094,Post-IPO Equity,0,0,127558094,56
Moderna Therapeutics,1,"Cambridge, Massachusetts, United States","Moderna Therapeutics develops messenger RNA therapeutics. Itprovides in vivo drug modality that produces human proteins or antibodies inside patient cells.  Moderna Therapeutics also develops various patent applications with various claims ranging from novel nucleotide chemistries to specific drug compositions. It focuses on disease areas, such as inherited genetic disorders, hemophilic and blood factors, and oncology.  It has strategic option agreements with AstraZeneca and Alexion Pharmaceuticals and strategic collaborations with Karolinska Institutet, Institut Pasteur, Karolinska University Hospital, and Merck.  Noubar Afeyan, Robert Langer, and Stéphane Bancel founded Moderna Therapeutics in 2010. Its headquarters is in Cambridge in Massachusetts. ",12/6/2018,"Biotechnology, Genetics, Health Care, Medical, Pharmaceutical",5/3/2018,125000000,Series H,49,0,125000049,57
CureFit,1,"Bangalore, Karnataka, India","CureFit is an Indian health and fitness company offering digital and offline experiences across fitness, nutrition, and mental well-being. With the aim to make fitness fun and easy, CureFit gives workouts a whole new meaning with a range of trainer-led, group workout classes. It operates gyms under Cult.Fit, healthy food offerings under Eat.Fit, mental wellness through Mind.Fit and diagnostic centers through Care.fit. Founded in 2016, the company is headquartered in Bangalore, Karnataka.",,"Apps, Fitness, Health Care, Wellness",6/25/2019,120000000,Series D,0,250,120000250,58
Jazz Pharmaceuticals,2,"Palo Alto, California, United States","Jazz Pharmaceuticals, Inc. focuses on identifying, developing, and commercializing products for neurology and psychiatry primarily in the United States. Its products include Xyrem for the treatment of cataplexy and excessive daytime sleepiness in patients with narcolepsy; Cystadane for the treatment of homocystinuria, an inherited metabolic disease; and Antizol to treat ethylene glycol and methanol poisoning. Its late-stage product candidates comprise Luvox CR, an extended release formulation of fluvoxamine, a selective serotonin reuptake inhibitor, which is used for the treatment of obsessive compulsive disorder and social anxiety disorder; and JZP-6, a liquid dosage form of sodium oxybate in Xyrem, for the treatment of fibromyalgia syndrome. The company's products in the clinical pipeline include JZP-4, a controlled release formulation of an anticonvulsant for the treatment of epilepsy and bipolar disorder; and JZP-8, a formulation incorporating a benzodiazepine, for the treatment of acute repetitive seizure clusters in refractory epilepsy patients. Its pipeline also comprise JZP-7, a formulation incorporating a dopamine agonist for the treatment of restless legs syndrome; and JZP-2, a formulation of a benzodiazepine for the acute treatment of panic attacks associated with panic disorder. The company has a product development and license agreement with Antares Pharma, Inc. Jazz Pharmaceuticals was founded in 2003 and is headquartered in Palo Alto, California.",5/31/2007,"Biotechnology, Health Care, Pharmaceutical",12/7/2009,120000000,Post-IPO Debt,0,0,120000000,59
Proteus Digital Health,1,"Redwood City, California, United States","Proteus Digital Health® is creating a new category of pharmaceuticals: Digital Medicines. Digital Medicines includes drugs that communicate when they’ve been taken, wearable sensors that capture physiologic response, applications that support patient self-care and physician decision making and data analytics to serve the needs of doctors and health systems. The goal of Digital Medicines is to empower patients and their families, enable physicians and health systems to more effectively manage risk and ensure that outcomes are reliably achieved.",,"Health Care, Mobile, Pharmaceutical, Software",2/26/2016,110000000,Series H,0,0,110000000,60
Juvenescence,9,"Douglas, NA - Isle of Man, Isle of Man","Juvenescence Limited is a British Virgin Islands-based holding company that invests in human aging and longevity. Juvenescence has raised USD $111M to build an ecosystem and pipeline of assets targeting aging, age-related disease and regeneration. Juvenescence believes that recent scientific and medical advances will enable the development of therapeutics that meaningfully extend human healthspan and eventually lifespan. A meaningful increase in lifespan in the already ageing world will have profound implications on all sectors of society, and in particular healthcare, education, insurance and leisure.",,"Biopharma, Biotechnology, Pharmaceutical",8/19/2019,100000000,Series B,0,305,100000305,61
Apollomics,1,"Santa Clara, California, United States","Apollomics is an emerging life sciences oncology company focused on developing innovative medicines targeting the growth and proliferation of cancer cells for which available treatments are inadequate. Our pipeline is comprised of four development-stage assets – an oral agent that specifically targets cancer metastasis, a pre-clinical candidate that targets uncontrolled growth signaling pathways, and two investigational products that restore the body’s immune system to recognize and kill cancer cells.",,"Alternative Medicine, Health Care, Pharmaceutical",1/8/2019,100000000,Series B,0,82,100000082,62
Ascletis,2,"Chapel Hill, North Carolina, United States","Ascletis is a joint venture between U.S. and Chinese entrepreneurs aimed at building a global specialty therapeutics business dedicated to discovering and developing important new treatments for cancer and infectious diseases. Ascletis leverages U.S./European innovation and pharmaceutical/biotech strategic experience and China's capital efficiency with a goal of establishing in the near term a sustainable business and accelerated revenues through the in-licensing, late-stage clinical development, and commercialization of new medicines for the growing Chinese pharmaceutical marketplace. At the same time, the company is building long-term value through the discovery, demonstration of clinical proof-of-concept, and global partnering of novel therapeutics for life-threatening diseases.",7/26/2018,"Health Care, Medical, Therapeutics",1/3/2017,100000000,Series B,0,0,100000000,63
Allscripts,5,"Chicago, Illinois, United States","Allscripts, LLC provides health industry software. The company is based in Chicago, Illinois. Allscripts, LLC was formerly a subsidiary of Allscripts Healthcare Solutions Inc. As a result of the acquisition of Allscripts Healthcare Solutions Inc. by Allscripts-Misys Healthcare Solutions, Inc. as of October 10, 2008, Allscripts, LLC operates as a subsidiary of Allscripts-Misys Healthcare Solutions, Inc.",7/23/1999,"Enterprise Software, Health Care, Information Technology, Software",6/30/2015,100000000,Post-IPO Equity,0,0,100000000,63
iKang Healthcare Group,2,"Beijing, Beijing, China","Ikang is a Chinese all-around health management service agency relying on its health medical center to cover major cities in the country cooperation network. Ikang provides all-around personalized services such as family doctor consultation services, health check-ups, medical treatment, health insurance services, and chronic disease management solutions for individuals and groups helping them get rid of sub-health conditions and prevent chronic diseases. Currently, Ikang has branches in provinces and cities in North China, East China, South China, Central China, and Southwest China. It has health check and medical treatment centers in Beijing, Shanghai, Guangzhou, etc. and established cooperation networks with over 400 medical treatment institutes. Ikang plans on providing hundreds of famous enterprises, insurance companies, medical treatment institutes, government departments, and over one million members with comprehensive health management services. It was established through a merger between ICON and Guobin Medical Treatment Holding.",4/10/2014,"Health Care, Medical, Wellness",5/1/2013,100000000,Private Equity,0,0,100000000,63
Auven Therapeutics,9,"Delray Beach, Florida, United States","Auven Therapeutics is a private equity company focused on the healthcare industry. The Company’s strategy is to acquire controlling ownership in promising therapeutic products or platforms. The value of these therapeutic assets is then significantly enhanced by global development programs prior to selling them as clinically and commercially validated products to established pharmaceutical companies.  Auven Therapeutics has built a diversified portfolio of biologic and small molecule therapeutic candidates for a wide range of therapeutic indications. The Company’s existing pipeline addresses critical unmet medical needs in cancer, ophthalmic conditions, women’s health and orphan diseases. It has ownership of or a controlling interest in the therapeutic assets of ADC Therapeutics, Spirogen, Resolvyx and Kiacta, and a minority investment in Kolltan and Sprout Pharmaceuticals.  Founded in 2007 by industry veterans Stephen Evans-Freke and Dr. Peter B. Corr, Auven Therapeutics Management L.L.L.P. is an investment advisor with its principal place of business in the US Virgin Islands. It manages Auven Therapeutics Holdings L.P., a private equity fund, which has its registered office and principal place of business in the British Virgin Islands. Auven Therapeutics Development, the operating company of Auven Therapeutics Holdings L.P. manages drug development from its bases in Lausanne, Switzerland, New York, USA and Hamilton, Bermuda.  Auven Therapeutics is an investment advisor with its principal place of business in the US Virgin Islands. It manages Auven Therapeutics Holdings L.P., a private equity fund, which has its registered office and principal place of business in the British Virgin Islands. Auven Therapeutics Development, the operating company of Auven Therapeutics Management L.L.L.P. Holdings L.P. manages drug development from its bases in Lausanne, Switzerland, New York, USA and Hamilton, Bermuda.",,"Advice, Health Care, Therapeutics",10/27/2009,100000000,Undisclosed,0,0,100000000,63
"Liberate Ideas, Inc",1,"Montclair, New Jersey, United States","Liberate Ideas Inc® is a leading mobile health communication company focused on delivering innovative solutions to power engagement between clinicians, patients and healthcare stakeholders in order to improve health outcomes. Based in the Montclair New Jersey, we work closely with top healthcare companies to transform brand experience at the point of care. Our first product is theLiberate Health patient education mobile platform",7/28/1999,"Apps, Health Care, Internet, Software",7/17/2000,100000000,Post-IPO Equity,0,0,100000000,63
Sarepta Therapeutics,2,"Cambridge, Massachusetts, United States","Sarepta Therapeutics – formerly AVI BioPharma – remains focused on developing first-in-class, RNA-based therapeutics to improve and save the lives of people affected by serious and life-threatening rare and infectious diseases. Sarepta’s unique technology has yielded a diverse pipeline of RNA-based therapeutics that include their lead clinical candidate, eteplirsen, for the treatment of Duchenne muscular dystrophy, a debilitating and life-threatening genetic disorder, as well as potential treatments for some of the world’s most lethal infectious diseases.",6/4/1997,"Biotechnology, Genetics, Health Care, Therapeutics",10/23/2018,90000000,Post-IPO Equity,0,5,90000005,68
Memorial Sloan - Kettering Cancer Center,3,"New York, New York, United States","Memorial Sloan Kettering Cancer Center — the world’s oldest and largest private cancer center — has devoted more than 130 years to exceptional patient care, innovative research, and outstanding educational programs. Today, they are one of 41 National Cancer Institute–designated Comprehensive Cancer Centers, with state-of-the-art science flourishing side by side with clinical studies and treatment. The close collaboration between their physicians and scientists is one of their unique strengths, enabling us to provide patients with the best care available as they work to discover more-effective strategies to prevent, control, and ultimately cure cancer in the future. Their education programs train future physicians and scientists, and the knowledge and experience they gain at Memorial Sloan Kettering has an impact on cancer treatment and biomedical research around the world.",,"Health Care, Hospital, Life Science",1/5/2014,90000000,Grant,0,0,90000000,69
Health Catalyst,1,"Salt Lake City, Utah, United States","Catalyst is solving healthcare data warehouse issues for some of the nation’s top health systems. With the shift from paper to electronic records,it has become a challenge to organize health data, make sense of it, and to do it quickly. Catalyst helps organize, normalize, and link the data from all your different systems. And they make it searchable by all your users, even the non-technical, by using rich meta data capabilities.  This enables you to use your data for complex operational, financial, clinical, and research reporting requirements—capabilities that give everyone the answers they seek, fast.",7/24/2019,"Analytics, Computer, Enterprise Software, Health Care, Information Technology, Software",2/8/2019,85000000,Debt Financing,279,113,85000392,70
ClassPass,,"New York, New York, United States","ClassPass is a subscription marketplace that lets users find and book fitness classes. With over 8,500 partners in 49 cities worldwide, ClassPass connects members to a variety of fitness experiences, including yoga, cycling, Pilates, barre, running, strength training, dance, sports, videos and more. Recognized as one of Forbes's Next Billion Dollar Startups, ClassPass leverages proprietary technology to dynamically merchandise and surface over a million fitness classes for a seamless booking experience that facilitates discovery.",,"Consumer Applications, Fitness, Health Care, Subscription Service",7/25/2018,85000000,Series D,0,0,85000000,71
uBiome,1,"San Francisco, California, United States","uBiome is a citizen science startup that sequences the human microbiome. As the first and largest successful crowdsourced citizen science project in history, we allow the public access to cutting edge sequencing technology and are building a data platform to gather, analyze, and translate data about the human microbiome.  We have developed the first sequencing-based, clinical microbiome tests and are committed to empowering patients and their healthcare providers to understand and take greater control of their health. We provide actionable insights and information to help foster understanding about the microbiome and the role it plays in health and wellness. union's mission is to transform research into useful products based on the microbiome. uBiome is the world’s first effort to map the human microbiome with citizen science. While the sequencing of the human genome has provided invaluable knowledge, it is very difficult to change their own genetic makeup. The microbiome, in contrast, is much more easily changed through simple means such as healthful probiotic cultures and other lifestyle interventions. The microbiome thus may provide some of the most important medical breakthroughs of their era. uBiome will ultimately empower participants to manage their microbiomes to improve their health as well as make important scientific discoveries for humanity.",,"Health Care, Machine Learning, Quantified Self",9/21/2018,83000000,Series C,0,0,83000000,72
BrightGene,2,"Beijing, Beijing, China","BrightGene Bio-medical technology Co.,Ltd., is a leading Chinese biopharmaceutical company in small molecules and nucleotide drugs areas. Advised by China-based venture capital fund Laurel Venture Capital, BrightGene invests in all stage therapeutics and innovations.",,"Biopharma, Biotechnology",1/7/2019,80280497,Venture - Series Unknown,0,81,80280578,73
Heliae,1,"Gilbert, Arizona, United States","Heliae is a platform technology company that uses sunlight and low-cost carbon feedstocks to produce high-value products from algae. Based in Gilbert, Ariz., Heliae is leveraging its core production technology into four target markets: nutrition, therapeutics, health & beauty and agrosciences. With a seasoned management team and world-class science, Heliae is advancing the future of the algae industry by delivering novel algae-based products to dynamic markets around the world.",,"Biotechnology, Nutrition, Therapeutics",9/3/2013,80000000,Venture - Series Unknown,0,0,80000000,74
Cardinal Health,8,"Dublin, Ohio, United States","Cardinal Health is a Fortune 19 company that improves the cost-effectiveness of health care. As the business behind health care, Cardinal Health helps pharmacies, hospitals and ambulatory care sites focus on patient care while reducing costs, improving efficiency and quality, and increasing profitability. Cardinal Health employs more than 30,000 people worldwide.  Cardinal Health focuses on improving people's lives through a link in the chain of care, pharmacies, hospitals, and clinics that rely to improve quality, safety and productivity.",8/12/1983,"Health Care, Hospital, Medical",8/16/2006,78000000,Post-IPO Debt,0,0,78000000,75
BRAIN,1,"Zwingenberg, Hessen, Germany","BRAIN offers the full scope of bio-based solutions. BRAIN is a pioneer of industrial biotechnology. They create innovative solutions applying a world class biotechnology toolkit to their BioArchive, a proprietary repository of natural compounds. Focused on delivering solutions to their customers’ application needs they deliver value from concept to commercialization and beyond.",2/10/2016,"Biotechnology, Chemical, Pharmaceutical",11/27/2012,77632820,Private Equity,0,0,77632820,76
immatics biotechnologies,1,"Tübingen, Baden-Wurttemberg, Germany","immatics is a biopharmaceutical company focused on the development of immunotherapeutic substances for cancer therapy.  immatics has a good track record of success: They are optimistic that they have found a way to develop drugs against cancer that might one day help many cancer patients. The product candidates are designed to have less severe side effects than currently available treatment options. immatics has developed peptide-based active immunotherapy with unprecedented speed and efficiency, setting new standards for discovery and development in this area of oncology drug development. Our technology can also lead towards the development of novel immunotherapies based on antibodies and T-cell receptors.  immatics is currently working on the development of new substances for a number of specific cancer types. Their most advanced product is currently being developed in a phase 3 clinical trial for kidney cancer. Final results for this trial are expected in 2015. A second product targeting colorectal cancer has just completed a large phase 1/2 clinical trial and a third cancer vaccine has entered several phase 1 clinical trials in brain cancer. They also have active earlier programs in several other tumor types including gastric cancer, non-small-cell lung cancer and prostate cancer which are being developed in collaboration with our partner Roche.",,"Biotechnology, Manufacturing, Medical, Therapeutics",9/5/2019,75000000,Venture - Series Unknown,0,322,75000322,77
Safeguard Scientifics,127,"Radnor, Pennsylvania, United States","Safeguard Scientifics, Inc. (NYSE: SFE) has a distinguished track record of fostering innovation and building market leaders. For more than 60 years, Safeguard has been providing growth capital and operational support to entrepreneurs across an evolving spectrum of industries. Today, Safeguard is focused specifically on healthcare and technology. Safeguard is a proven partner for entrepreneurs looking to accelerate growth and build long-term value in their businesses. Investors in NYSE:SFE have a unique opportunity to tap into the high potential of Safeguard's early- and growth-stage partners companies.",4/14/1971,"Finance, Health Care, Venture Capital",5/12/2017,75000000,Debt Financing,0,0,75000000,78
PMV Pharmaceuticals,2,"Redwood City, California, United States","PMV Pharma is developing first-in-class p53 and p53 pathway modulators for the treatment of cancer.  Bringing together leaders in the field to utilize over three decades of p53 biology, PMV Pharma combines unique biological understanding with pharmaceutical development focus.",,"Biopharma, Health Care, Medical Device",2/22/2017,74000000,Series B,0,0,74000000,79
Aphria,3,"Leamington, Ontario, Canada","Founded in 2013, Aphria is integrating their growing expertise with Health Canada’s new Marijuana for Medical Purposes Regulations (MMPR) for medicinal marijuana industry. Possessing greenhouse related growing experience in plant and produce related expertise since 1943, Aphria is positioned to be an industry leader in providing patients with the highest quality medical marijuana. Aphria has developed integrated greenhouse growing solutions specifically focused on quality production of cannabis. With the authorization of quantity scale marijuana growing, Aphria greenhouse operations are a natural fit.",12/30/2011,"Alternative Medicine, Cannabis, Medical, Pharmaceutical",10/17/2017,73610126,Undisclosed,0,0,73610126,80
Silence Therapeutics,1,"London, England, United Kingdom","Silence Therapeutics plc is a United Kingdom-based ribonucleic acid (RNA) technology company. The Company is primarily involved in the research and development of pharmaceutical products. The Company's technology harnesses the body's natural mechanisms to create therapeutic effects within its own cells. The Company has a has a genetic toolkit with its own therapeutic payloads to modulate gene expression up as well as down in preclinical in vivo models, and delivery systems for various organs and cell types.",12/18/2009,"Biotechnology, Information Technology, Medical, Therapeutics",4/8/2015,58200000,Post-IPO Equity,0,0,58200000,81
Intrexon,1,"Blacksburg, Virginia, United States","Intrexon is a privately held life sciences company headquartered at the Virginia Tech Corporate Research Center in Blacksburg, Virginia, with additional R&D operations in Valley Forge, Pennsylvania. The company is focused on the research and development of biotherapeutic control systems that minimize toxicity while enhancing clinical outcomes. More information is available at www.DNA.com.",8/8/2013,"Biotechnology, Life Science, Medical, Therapeutics",1/28/2015,57500000,Post-IPO Equity,0,0,57500000,82
Bavarian Nordic,1,"Kvistgaard, Hovedstaden, Denmark","Bavarian Nordic is a industrial biotechnology company developing and producing novel vaccines for the treatment and prevention of life-threatening diseases with a large unmet medical need. The company's business strategy is focused in three areas: biodefence, cancer and infectious diseases.",12/5/2003,"Biotechnology, Health Care, Medical",5/12/2015,56080594,Post-IPO Debt,0,0,56080594,83
Malin Corporation,12,"Dublin, Dublin, Ireland","Malin Corporation plc (“Malin”) is an Irish incorporated public limited company whose head office is in Dublin, Ireland with subsidiary offices in New Haven, Connecticut and Research Triangle, North Carolina, USA. Malin’s purpose is to create shareholder value through the selective long-term application of capital and operational expertise to private, pre-IPO, pre-trade sale operating businesses in dynamic and fast growing segments of the life sciences industry. Through its operational involvement, Malin works with its investee companies to enable them to reach the full potential of their value proposition and to achieve commercial success.",,"Biotechnology, Health Care, Life Science",3/1/2015,55915152,Venture - Series Unknown,0,0,55915152,84
Lenskart.com,3,"Faridabad, Haryana, India","Lenskart, the first of its kind online optical store in India, has made it possible to acquire a good quality pair of specs with prescription lenses for just Rs. 399, all this while you sit in the comfort of your home. With a 48-hour free home delivery guarantee and 365 days return policy, Lenskart.com is doing what ecommerce hasn’t been able to do in India yet.  The website has over 500 designs of eyeframes, in multiple colors, for all age groups, from Rs. 399 all the way to Rs. 4,000 for a pair. All one needs to do is select a frame, fill in their power, and place order. You can pay online or at the time of delivery.  Lenskart.com has the biggest collection of discounted contact lenses consisting all top-notch brands (viz. Johnson & Johnson, Bausch & Lomb, Ciba Vision are to name a few) and be it disposable, toric, coloured or bi-focal contact lenses, you can find all possible types here. Lenskart is dedicated to providing its customers with a simple, hassle-free way to replace their contact lenses. One can receive the exact same contact lens, their doctor prescribed, delivered to their door, at a great price.",,"Delivery, E-Commerce, Eyewear, Fashion, Health Care, Internet, Shopping",9/16/2019,55000000,Private Equity,0,333,55000333,85
"SMARTIFICIAL RESEARCH & TECHNOLOGY, INC",,"San Francisco, California, United States","SMARTIFICIAL (TM) is an International R&D Innovation network, accelerator and technology fund focused on Artificial Intelligence and Blockchain business solutions.  The company is an Intel Technology Provider acting as a business accelerator through various innovation centers (""innovation as a service"") for strategic partners in disruptive AI Technology, Healthcare, Genomics, Supply Chain, Real Estate, FinTech, Education, Online Retail and Cyber Security.  The portfolio includes several early-stage technology companies under the umbrella of a world-class business accelerator program. SMARTIFICIAL (TM) also provides AiaaS (""AI as a Service"") and BaaS (""Blockchain as a Service"") to various partners in the industry with an emphasis on sponsorship for Research Labs and International Universities.",,"Artificial Intelligence, Blockchain, Education, Health Care, Machine Learning, SaaS",3/7/2019,55000000,Corporate Round,0,140,55000140,86
NantHealth,2,"Culver City, California, United States","NantHealth is a transformational healthcare company converging science and technology through an integrated clinical platform that’s empowering physicians, patients, payers, and researchers to transcend the traditional barriers of today’s healthcare system. NantHealth solutions are advancing diagnostics to better identify and target specific disease characteristics; transforming clinical delivery with clinical data and promoting wellness for a healthier, happier world. They are building an integrated, evidence-based, genomically-informed, personalized approach to the delivery of care and the development of next generation healthcare solutions.",6/3/2016,"Health Care, Health Diagnostics, Medical",1/1/2016,52500000,Venture - Series Unknown,0,0,52500000,87
Deciphera Pharmaceuticals,1,"Waltham, Massachusetts, United States","Deciphera was established in 2003 based on a deep scientific understanding of kinase inhibitors and a team dedicated to developing sophisticated approaches to therapeutic targeting of kinases. With business and development operations based in Boston, and dedicated research capabilities in close proximity to the University of Kansas, Deciphera has identified small molecule leads for over 50 kinase targets, and has developed a pipeline of small molecule drug candidates for a range of cancers.",9/27/2017,"Medical, Pharmaceutical, Therapeutics",6/1/2017,52000000,Series C,0,0,52000000,88
Galil Medical,,"Saint Paul, Minnesota, United States","Galil Medical is a new era of minimally invasive cryotherapy solutions that enhance patient quality of life.  Galil Medicalâ€™s technology involves freezing and ablating diseased tissue in a technique referred to as cryotherapy, also referred to as cryoablation and cryosurgery. Galil Medical cryotherapy systems use compressed Argon gas to produce extremely low temperatures. As the gas passes through the cryoablation needle, the tip of the needle is cooled, forming an iceball, which engulfs the tumor and destroys the tissue. A variety of needle types is available to sculpt a freeze zone conformed to the tumor size and shape.  Galil Medical cryosurgical systems precisely deliver sub-zero temperatures to target tissue with the aid of patented 17-gauge cryoablation needles and high-resolution imaging for the cryosurgical ablation of benign and cancerous tumors. Cryotherapy ablation has been widely used for prostate cancer treatment and kidney cancer treatment. New ablation treatments for various other tumors are being developed in the Womenâ€™s Health and Interventional Radiology markets.",5/5/2016,"Biopharma, Health Care, Medical Device",12/11/2006,52000000,Venture - Series Unknown,0,0,52000000,88
Sol Global investments,4,"Calgary, Alberta, Canada","SOL is an international cannabis company with a focus on legal U.S. states. Its strategic investments and partnerships across cultivation, distribution and retail complement the company’s R&D program with the University of Miami. It is this comprehensive approach that is positioning SOL as a future frontrunner in the United States’ medical cannabis industry.",1/4/2019,"Biotechnology, Health Care, Pharmaceutical",7/8/2019,50000000,Post-IPO Debt,78,263,50000341,90
Beyond Meat,,"Manhattan Beach, California, United States","Beyond Meat is planting The Future of Protein. Delicious, 100% plant-based products without the health and other downsides of animal protein.",5/2/2019,"Food and Beverage, Food Processing, Health Care",10/5/2018,50000000,Series H,196,0,50000196,91
Twist Bioscience,1,"San Francisco, California, United States","Mesoblast Limited is a world leader in the development of biologic products for the broad field of regenerative medicine. Mesoblast's patented Mesenchymal Precursor Cell (MPC) technology is being developed for an extensive range of major clinical diseases, including inflammatory and immunologic conditions of the joints and lungs, diabetes and kidney disease, orthopedic spine conditions, and cardiovascular disorders.",10/30/2018,"Biotechnology, Chemical, Health Care",4/2/2018,50000000,Venture - Series Unknown,12,0,50000012,92
Mesoblast,1,"Melbourne, Victoria, Australia","At Twist Bioscience Corporation, they work in service of customers who are changing the world for the better. In fields such as health care, agriculture, industrial chemicals and data storage, by using our synthetic DNA tools, their customers are developing ways to better lives and improve the sustainability of the planet. They believe that the faster their customers succeed, the better for all of them , and Twist Bioscience is uniquely positioned to help accelerate their efforts. Their innovative silicon-based DNA Synthesis Platform provides precision at a scale that we believe is otherwise unavailable to their customers. their platform technologies overcome inefficiencies and enable cost-effective, rapid, precise, high-throughput synthesis and sequencing, providing both the quality and quantity of the tools they need to rapidly realize the opportunity ahead.",3/14/2013,"Biotechnology, Health Care, Health Diagnostics",7/3/2018,50000000,Post-IPO Equity,0,0,50000000,93
Health 100,2,"Xuhui, Shanghai, China","Health 100 provides medical examinations and services. The company operates medical and physical examination centers in various cities in China. Health 100 was established in 2004 and is based in Shanghai, China.",3/30/2015,"Health Care, Health Diagnostics, Medical",9/3/2013,49000000,Private Equity,0,0,49000000,94
Avera Pharmaceutical,1,"Carlsbad, California, United States","Avera Pharmaceuticals is a specialty pharmaceutical company that acquires, develops, and commercializes pharmaceutical compounds. The company develops gantacurium, a neuromuscular blocking agent for rapid and routine endotracheal intubation and skeletal muscle relaxation during surgery; AV810 for the treatment of overactive bladder and irritable bowel syndrome; and AV965 to treat cognitive impairment associated with schizophrenia and Alzheimer’s dementia. The company was founded in 2002 and is headquartered in San Diego, California.",,"Biotechnology, Health Care, Pharmaceutical",8/5/2004,48000000,Series C,0,0,48000000,95
Columbia Care,1,"New York, New York, United States","Columbia Care, LLC is a New York based holding company with interests in the healthcare, real estate, clinical research, education and technology sectors.   Among the many focus areas, through its operating subsidiaries located throughout the United States, Columbia Care is among premier providers of alternative healthcare products and services for qualifying patients offering a better, natural way to eliminate suffering and improve patient lives. The company’s primary goal is to deliver the best standard of care, products and experience in a compliant and comforting environment - one patient at a time.   Columbia Care is committed to being a leader in each of its focus areas by prioritizing its patients’, regulators’ and customer needs first and operating disciplined subsidiaries that maintain four principles: compliance, innovation, social responsibility and education - consistently exceeding patients’, partners’ and regulators’ expectations.  In every jurisdiction in which it operates, the company offers financial and philanthropic support to work in partnership with local leaders, law enforcement, medical/healthcare providers and patient and community advocacy groups to ensure its neighbors benefit directly from its involvement in their communities.   The company’s team, led by its executive team CEO, Nicholas Vita, and President Bob Mayerson along with the Board of Directors chaired by Non-Executive Chairman and Shareholder, Michael Abbott, is comprised of experts from every related discipline including pharmacy, clinical research, medicine, security, community outreach, technology, finance, legal/compliance, government, education and retail.",,"Cannabis, Health Care",11/12/2018,46000000,Convertible Note,0,25,46000025,96
iCarbonX,5,"Shenzhen, Guangdong, China","iCarbonX aimed at building a ecosystem of digital life based on the combination of consumers’ big life data, internet and artificial intelligence. The individual health steward, created by the common efforts of artificial intelligence team and top biotechnology,will lead a healthy life through the digital life ecosystem. The main founding team of the company was from the BGI Tech. It was deeply experienced in omics technology, mobile health, medical service, biological data analysis, artificial intelligence and data mining,etc. They will create the first and also most professional data collection platform of millions of health data in China, combine the best biotechnology and the top team of artificial intelligence, and integrate the advantages of artificial intelligence into the abundant analyses and applications of big life data through data mining and machine learning.",,"Artificial Intelligence, Biotechnology, Health Care",7/15/2016,45000000,Series A,0,0,45000000,97
Retrophin,1,"New York, New York, United States","Retrophin is a pharmaceutical company focused on the discovery and development of drugs for the treatment of debilitating and often life-threatening diseases for which there are currently no viable patient options. The Company is currently focused on several catastrophic diseases affecting children, including Focal Segmental Glomerulosclerosis (FSGS), Pantothenate Kinase-Associated Neurodegeneration (PKAN), Duchenne Muscular Dystrophy and others. Retrophin’s lead compound, RE-021, is scheduled to begin enrollment in a potentially pivotal Phase 2 clinical trial for FSGS during 2013.",7/17/2009,"Biotechnology, Health Care, Medical",7/1/2014,45000000,Post-IPO Debt,0,0,45000000,97
Thousand Oaks Biopharmaceuticals,1,"Haimen, Guangdong, China","Thousand Oaks Biopharmaceuticals is a clinical-stage biotech company that focuses on development, analytical testing and manufacturing of therapeutic proteins.The Jiangsu-based company follows the contract development and manufacturing organization (CDMO) business model, which provides third-party start-to-finish services, from drug development to drug commercial manufacturing, to other companies in the pharmaceutical industry.",,"Biopharma, Health Care",1/1/2019,43614160,Series A,0,75,43614235,99
Fitbit,2,"San Francisco, California, United States","Fitbit inspires people to exercise more, eat better and live healthier lifestyles.  The company is developing an ultra-compact wireless wearable sensor, called the Fitbit Tracker, that automatically tracks data about a person's activities, such as calories burned, sleep quality, steps and distance. The Fitbit Tracker collects activity data automatically while it is worn by the user all day. The collected data is wirelessly uploaded to a website where the wearer can see their data and track their progress toward personal goals. The website provides a motivational interface where users can share their progress, compare themselves against similar people and work toward virtual goals with their friends, family and co-workers. At the website, users can also manually log nutrition, weight and other health information in order to gain a complete picture of their health. Fitbit makes it easy to achieve a healthy lifestyle by automating the collection of health data and providing a motivating and entertaining user interface.",6/19/2015,"Cloud Computing, Fitness, Health Care, Personal Health, Wearables",8/13/2013,43000000,Series D,0,0,43000000,100
Apic Bio,1,"Cambridge, Massachusetts, United States","Apic Bio, Inc. is a biotechnology company that advances therapies to treat rare diseases with complex mechanisms.",,"Biotechnology, Health Care, Life Science, Pharmaceutical",1/7/2019,40000000,Series A,0,81,40000081,101
