Above 50,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year, raised_amount_usd 
no,biotech,USA,CA,California - Other,,/financial-organization/apax-partners,Apax Partners,,USA,NY,New York,New York,venture,4/7/2009,2009-04,2009-Q2,2009," $38,000,000.00 "
yes,biotech,USA,CA,California - Other,,/financial-organization/apax-partners,Apax Partners,,USA,NY,New York,New York,series-c+,3/28/2007,2007-03,2007-Q1,2007," $60,000,000.00 "
no,biotech,USA,RI,Lincoln,Lincoln,/financial-organization/apax-partners,Apax Partners,,USA,NY,New York,New York,series-b,11/16/2006,2006-11,2006-Q4,2006," $35,000,000.00 "
no,medical,USA,GA,Atlanta,Atlanta,/financial-organization/aperture-venture-partners,Aperture Venture Partners,,USA,NY,New York,New York,series-c+,10/9/2009,2009-10,2009-Q4,2009," $22,100,000.00 "
yes,biotech,USA,PA,Philadelphia,Malvern,/financial-organization/aperture-venture-partners,Aperture Venture Partners,,USA,NY,New York,New York,series-c+,1/29/2007,2007-01,2007-Q1,2007," $63,000,000.00 "
no,medical,USA,CA,SF Bay,Mountain View,/financial-organization/aperture-venture-partners,Aperture Venture Partners,,USA,NY,New York,New York,series-b,4/29/2011,2011-04,2011-Q2,2011," $7,000,000.00 "
no,medical,USA,MA,Boston,Waltham,/financial-organization/aperture-venture-partners,Aperture Venture Partners,,USA,NY,New York,New York,series-c+,7/7/2011,2011-07,2011-Q3,2011," $25,000,000.00 "
no,biotech,USA,PA,Philadelphia,Malvern,/financial-organization/aperture-venture-partners,Aperture Venture Partners,,USA,NY,New York,New York,series-c+,8/11/2011,2011-08,2011-Q3,2011," $14,400,000.00 "
no,biotech,USA,PA,Philadelphia,Malvern,/financial-organization/aperture-venture-partners,Aperture Venture Partners,,USA,NY,New York,New York,series-c+,6/5/2012,2012-06,2012-Q2,2012," $10,000,000.00 "
no,medical,USA,MA,Boston,Waltham,/financial-organization/aperture-venture-partners,Aperture Venture Partners,,USA,NY,New York,New York,series-c+,3/5/2013,2013-03,2013-Q1,2013," $43,000,000.00 "
no,biotech,USA,CA,SF Bay,San Francisco,/financial-organization/aperture-venture-partners,Aperture Venture Partners,,USA,NY,New York,New York,series-b,5/2/2013,2013-05,2013-Q2,2013," $9,787,000.00 "
no,biotech,USA,CA,San Diego,San Diego,/financial-organization/aperture-venture-partners,Aperture Venture Partners,,USA,NY,New York,New York,series-c+,9/4/2013,2013-09,2013-Q3,2013," $45,900,000.00 "
no,medical,USA,IL,Chicago,Chicago,/financial-organization/apex-venture-partners,Apex Venture Partners,,USA,IL,Chicago,Chicago,venture,7/25/2012,2012-07,2012-Q3,2012," $22,000,000.00 "
no,biotech,USA,CA,SF Bay,Menlo Park,/financial-organization/aphelion-capital,Aphelion Capital,,USA,CA,SF Bay,Mill Valley,series-c+,9/26/2007,2007-09,2007-Q3,2007," $40,000,000.00 "
no,medical,USA,CT,Orange,Orange,/financial-organization/aphelion-capital,Aphelion Capital,,USA,CA,SF Bay,Mill Valley,series-c+,7/8/2011,2011-07,2011-Q3,2011," $19,000,000.00 "
no,medical,USA,OR,Eugene,Bend,/financial-organization/aphelion-capital,Aphelion Capital,,USA,CA,SF Bay,Mill Valley,series-a,12/29/2011,2011-12,2011-Q4,2011," $4,000,000.00 "
no,medical,USA,MI,Detroit,Ann Arbor,/financial-organization/aphelion-capital,Aphelion Capital,,USA,CA,SF Bay,Mill Valley,venture,1/4/2012,2012-01,2012-Q1,2012," $34,000,000.00 "
no,medical,USA,OR,Eugene,Bend,/financial-organization/aphelion-capital,Aphelion Capital,,USA,CA,SF Bay,Mill Valley,series-c+,2/9/2012,2012-02,2012-Q1,2012," $4,900,000.00 "
no,medical,USA,CT,Orange,Orange,/financial-organization/aphelion-capital,Aphelion Capital,,USA,CA,SF Bay,Mill Valley,series-c+,12/5/2012,2012-12,2012-Q4,2012," $7,500,000.00 "
no,medical,USA,NJ,New Providence,New Providence,/financial-organization/apjohn-ventures,Apjohn ventures,,USA,MI,Kalamazoo,Kalamazoo,other,11/7/2009,2009-11,2009-Q4,2009," $6,000,000.00 "
no,biotech,USA,RI,Lincoln,Lincoln,/financial-organization/apjohn-ventures,Apjohn ventures,,USA,MI,Kalamazoo,Kalamazoo,venture,9/7/2006,2006-09,2006-Q3,2006," $40,000,000.00 "
no,biotech,USA,CA,Los Angeles,Calabasas,/financial-organization/apothecary-capital,Apothecary Capital,,USA,IL,Chicago,Chicago,series-c+,5/19/2008,2008-05,2008-Q2,2008," $30,000,000.00 "
yes,biotech,USA,CA,SF Bay,Menlo Park,/financial-organization/apothecary-capital,Apothecary Capital,,USA,IL,Chicago,Chicago,series-c+,12/21/2007,2007-12,2007-Q4,2007," $62,500,000.00 "
yes,biotech,USA,CA,SF Bay,San Francisco,/financial-organization/apothecary-capital,Apothecary Capital,,USA,IL,Chicago,Chicago,venture,2/16/2005,2005-02,2005-Q1,2005," $100,000,000.00 "
no,biotech,USA,MA,Massachusetts - Other,,/financial-organization/apple-tree-partners,Apple Tree Partners,,USA,NY,New York,New York,series-c+,6/11/2009,2009-06,2009-Q2,2009," $40,000,000.00 "
no,biotech,USA,MA,Massachusetts - Other,,/financial-organization/apple-tree-partners,Apple Tree Partners,,USA,NY,New York,New York,series-b,4/15/2008,2008-04,2008-Q2,2008," $10,500,000.00 "
no,biotech,USA,MA,Massachusetts - Other,,/financial-organization/apple-tree-partners,Apple Tree Partners,,USA,NY,New York,New York,series-a,12/1/2006,2006-12,2006-Q4,2006," $7,000,000.00 "
no,biotech,USA,MA,Boston,Cambridge,/financial-organization/apple-tree-partners,Apple Tree Partners,,USA,NY,New York,New York,series-c+,6/9/2009,2009-06,2009-Q2,2009," $22,000,000.00 "
no,biotech,USA,MA,Boston,Cambridge,/financial-organization/apple-tree-partners,Apple Tree Partners,,USA,NY,New York,New York,series-c+,8/25/2009,2009-08,2009-Q3,2009," $29,000,000.00 "
no,biotech,USA,MA,Boston,Cambridge,/financial-organization/apple-tree-partners,Apple Tree Partners,,USA,NY,New York,New York,series-c+,9/20/2011,2011-09,2011-Q3,2011," $23,000,000.00 "
no,biotech,USA,MA,Massachusetts - Other,,/financial-organization/apple-tree-partners,Apple Tree Partners,,USA,NY,New York,New York,series-c+,1/14/2013,2013-01,2013-Q1,2013," $12,000,000.00 "
no,biotech,USA,MA,Boston,Cambridge,/financial-organization/apple-tree-partners,Apple Tree Partners,,USA,NY,New York,New York,series-c+,5/15/2013,2013-05,2013-Q2,2013," $35,500,000.00 "
yes,biotech,USA,MA,Boston,Cambridge,/financial-organization/apple-ventures,Apple Ventures,,,,unknown,,series-a,4/4/2010,2010-04,2010-Q2,2010," $319,000,000.00 "
no,biotech,USA,CA,San Diego,La Jolla,/financial-organization/apposite-capital,Apposite Capital,,GBR,,London,London,series-a,6/9/2009,2009-06,2009-Q2,2009," $13,000,000.00 "
no,medical,USA,AZ,Phoenix,Mesa,/financial-organization/apposite-capital,Apposite Capital,,GBR,,London,London,series-c+,2/8/2011,2011-02,2011-Q1,2011," $10,500,000.00 "
no,biotech,USA,CA,San Diego,San Diego,/financial-organization/apposite-capital,Apposite Capital,,GBR,,London,London,series-c+,6/10/2011,2011-06,2011-Q2,2011," $30,000,000.00 "
no,biotech,USA,CA,San Diego,San Diego,/financial-organization/apposite-capital,Apposite Capital,,GBR,,London,London,venture,11/6/2012,2012-11,2012-Q4,2012," $50,000,000.00 "
no,biotech,USA,CA,San Diego,La Jolla,/financial-organization/aravis-ventures,Aravis Ventures,,CHE,,Zuerich,Zuerich,series-c+,4/1/2009,2009-04,2009-Q2,2009," $10,000,000.00 "
yes,biotech,USA,,United States - Other,,/financial-organization/aravis-ventures,Aravis Ventures,,CHE,,Zuerich,Zuerich,series-c+,2/12/2007,2007-02,2007-Q1,2007," $63,000,000.00 "
no,biotech,USA,MI,Detroit,Plymouth,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-a,5/1/2008,2008-05,2008-Q2,2008," $22,750,000.00 "
no,biotech,USA,OH,Cleveland,Chagrin Falls,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-a,5/6/2009,2009-05,2009-Q2,2009," $4,000,000.00 "
no,biotech,USA,MI,Detroit,Ann Arbor,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-c+,8/10/2009,2009-08,2009-Q3,2009," $4,000,000.00 "
no,medical,USA,GA,Atlanta,Atlanta,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-c+,10/9/2009,2009-10,2009-Q4,2009," $22,100,000.00 "
no,medical,USA,CA,Santa Barbara,Goleta,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-a,1/1/2006,2006-01,2006-Q1,2006," $6,500,000.00 "
no,medical,USA,MI,Detroit,Detroit,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-a,7/21/2010,2010-07,2010-Q3,2010," $8,000,000.00 "
no,biotech,USA,MI,Detroit,Ann Arbor,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-c+,10/19/2010,2010-10,2010-Q4,2010," $6,000,000.00 "
no,medical,USA,MN,Minneapolis,Saint Paul,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-b,10/4/2011,2011-10,2011-Q4,2011," $21,600,000.00 "
no,biotech,USA,IN,Indianapolis,Indianapolis,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-a,4/20/2011,2011-04,2011-Q2,2011," $6,000,000.00 "
no,medical,USA,MI,Detroit,Ann Arbor,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-a,11/3/2011,2011-11,2011-Q4,2011," $4,500,000.00 "
no,medical,USA,MO,Saint Louis,St. Louis,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-c+,11/29/2011,2011-11,2011-Q4,2011," $8,000,000.00 "
no,medical,USA,CA,Los Angeles,Tustin,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-c+,2/10/2012,2012-02,2012-Q1,2012," $35,000,000.00 "
no,medical,USA,CA,Los Angeles,Tustin,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-b,7/7/2010,2010-07,2010-Q3,2010," $17,500,000.00 "
no,biotech,USA,OH,Cleveland,Chagrin Falls,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-a,2/2/2012,2012-02,2012-Q1,2012," $8,400,000.00 "
no,medical,USA,CA,Santa Barbara,Goleta,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-c+,2/15/2013,2013-02,2013-Q1,2013," $27,300,000.00 "
no,medical,USA,CA,Santa Barbara,Goleta,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-b,10/23/2008,2008-10,2008-Q4,2008," $7,500,000.00 "
no,biotech,USA,MI,Detroit,Plymouth,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,venture,4/25/2013,2013-04,2013-Q2,2013," $33,000,000.00 "
no,biotech,USA,NM,Albuquerque,Albuquerque,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,venture,5/6/2013,2013-05,2013-Q2,2013," $8,000,000.00 "
no,health,USA,IL,Chicago,Schaumburg,/financial-organization/arboretum-ventures,Arboretum Ventures,,USA,MI,Detroit,Ann Arbor,series-a,5/20/2013,2013-05,2013-Q2,2013," $20,500,000.00 "
no,biotech,USA,RI,East Providence,East Providence,/financial-organization/arc-angel-fund,ARC Angel Fund,,USA,NY,New York,New York,venture,8/19/2011,2011-08,2011-Q3,2011," $1,000,000.00 "
no,medical,USA,GA,Atlanta,Atlanta,/financial-organization/arcapita-ventures,Arcapita Ventures,,USA,GA,Atlanta,Atlanta,series-c+,10/9/2009,2009-10,2009-Q4,2009," $22,100,000.00 "
no,biotech,USA,GA,Atlanta,Atlanta,/financial-organization/arch-healthcare-fund,ARCH Healthcare Fund,,,,unknown,,series-b,11/11/2010,2010-11,2010-Q4,2010," $34,800,000.00 "
no,biotech,USA,CA,Los Angeles,Calabasas,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-c+,5/19/2008,2008-05,2008-Q2,2008," $30,000,000.00 "
no,biotech,USA,MA,Boston,Cambridge,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-c+,5/27/2009,2009-05,2009-Q2,2009," $12,000,000.00 "
no,biotech,USA,MA,Boston,Cambridge,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-c+,11/29/2006,2006-11,2006-Q4,2006," $46,000,000.00 "
no,biotech,USA,MI,Detroit,Ann Arbor,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-a,5/5/2009,2009-05,2009-Q2,2009," $36,000,000.00 "
no,biotech,USA,CA,SF Bay,South San Francisco,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,venture,6/11/2008,2008-06,2008-Q2,2008," $15,200,000.00 "
no,biotech,USA,CA,SF Bay,South San Francisco,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-c+,7/15/2009,2009-07,2009-Q3,2009," $15,000,000.00 "
no,biotech,USA,MA,Boston,Lexington,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-b,11/2/2009,2009-11,2009-Q4,2009," $30,200,000.00 "
no,biotech,USA,CA,San Diego,La Jolla,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-b,11/16/2009,2009-11,2009-Q4,2009," $30,000,000.00 "
no,biotech,USA,CA,San Diego,La Jolla,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-a,11/29/2007,2007-11,2007-Q4,2007," $12,000,000.00 "
no,biotech,USA,CA,San Diego,San Diego,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-a,11/23/2009,2009-11,2009-Q4,2009," $25,000,000.00 "
no,biotech,USA,WA,Seattle,Seattle,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-a,2/28/2008,2008-02,2008-Q1,2008," $19,000,000.00 "
yes,biotech,USA,CA,San Diego,San Diego,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-a,1/13/2010,2010-01,2010-Q1,2010," $51,600,000.00 "
no,biotech,USA,WA,Seattle,Seattle,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-b,10/26/2007,2007-10,2007-Q4,2007," $30,000,000.00 "
no,biotech,USA,MA,Boston,Cambridge,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-a,5/12/2004,2004-05,2004-Q2,2004," $15,000,000.00 "
yes,biotech,USA,CA,SF Bay,South San Francisco,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-c+,4/7/2010,2010-04,2010-Q2,2010," $56,000,000.00 "
yes,biotech,USA,,United States - Other,,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-c+,2/12/2007,2007-02,2007-Q1,2007," $63,000,000.00 "
yes,biotech,USA,WA,Seattle,Seattle,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-b,6/16/2006,2006-06,2006-Q2,2006," $55,000,000.00 "
no,biotech,USA,CA,Los Angeles,Calabasas,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-b,7/24/2006,2006-07,2006-Q3,2006," $30,000,000.00 "
no,biotech,USA,CA,SF Bay,South San Francisco,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-b,10/10/2006,2006-10,2006-Q4,2006," $26,000,000.00 "
no,biotech,USA,WA,Seattle,Seattle,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-a,4/26/2010,2010-04,2010-Q2,2010," $3,900,000.00 "
no,biotech,USA,MA,Boston,Cambridge,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-c+,6/29/2010,2010-06,2010-Q2,2010," $12,400,000.00 "
no,biotech,USA,WA,Seattle,Seattle,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,venture,3/17/2010,2010-03,2010-Q1,2010," $1,500,000.00 "
no,biotech,USA,WA,Seattle,Seattle,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-a,12/6/2005,2005-12,2005-Q4,2005," $3,500,000.00 "
no,biotech,USA,CA,SF Bay,Sunnyvale,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-b,9/13/2010,2010-09,2010-Q3,2010," $21,800,000.00 "
no,biotech,USA,WA,Seattle,Seattle,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-a,1/11/2011,2011-01,2011-Q1,2011," $4,400,000.00 "
no,biotech,USA,MA,Boston,Cambridge,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,venture,4/20/2011,2011-04,2011-Q2,2011," $30,000,000.00 "
no,biotech,USA,WA,Seattle,Seattle,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-a,8/2/2011,2011-08,2011-Q3,2011," $2,100,000.00 "
no,biotech,USA,CA,SF Bay,Sunnyvale,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-b,6/30/2011,2011-06,2011-Q2,2011," $36,000,000.00 "
no,biotech,USA,MA,Boston,Lexington,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-b,8/15/2011,2011-08,2011-Q3,2011," $14,000,000.00 "
no,biotech,USA,CA,Los Angeles,Calabasas,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-c+,9/19/2011,2011-09,2011-Q3,2011," $37,400,000.00 "
yes,biotech,USA,MA,Boston,Cambridge,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-c+,11/17/2011,2011-11,2011-Q4,2011," $78,000,000.00 "
no,biotech,USA,WA,Seattle,Seattle,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-b,12/12/2011,2011-12,2011-Q4,2011," $6,000,000.00 "
no,biotech,USA,CA,San Diego,San Diego,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,venture,3/13/2012,2012-03,2012-Q1,2012," $30,000,000.00 "
yes,biotech,USA,MA,Boston,Cambridge,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-c+,7/25/2012,2012-07,2012-Q3,2012," $60,000,000.00 "
no,biotech,USA,MA,Boston,Cambridge,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-c+,11/15/2012,2012-11,2012-Q4,2012," $18,500,000.00 "
no,biotech,USA,WA,Seattle,Seattle,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-b,3/25/2013,2013-03,2013-Q1,2013," $8,000,000.00 "
no,biotech,USA,MA,Boston,Watertown,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-a,4/11/2013,2013-04,2013-Q2,2013," $30,000,000.00 "
no,biotech,USA,NC,Raleigh-Durham,Research Triangle Park,/financial-organization/arch-venture-partners,ARCH Venture Partners,,USA,IL,Chicago,Chicago,series-a,4/11/2013,2013-04,2013-Q2,2013," $14,500,000.00 "
no,medical,USA,MA,Boston,Lexington,/financial-organization/arcus-ventures,Arcus Ventures,,USA,NY,New York,New York,series-c+,5/26/2010,2010-05,2010-Q2,2010," $15,000,000.00 "
no,biotech,USA,CA,San Diego,San Diego,/financial-organization/arcus-ventures,Arcus Ventures,,USA,NY,New York,New York,series-a,4/20/2011,2011-04,2011-Q2,2011," $14,000,000.00 "
no,biotech,USA,MI,Detroit,Ann Arbor,/financial-organization/arcus-ventures,Arcus Ventures,,USA,NY,New York,New York,series-a,5/9/2011,2011-05,2011-Q2,2011," $7,000,000.00 "
no,biotech,USA,MI,Detroit,Ann Arbor,/financial-organization/arcus-ventures,Arcus Ventures,,USA,NY,New York,New York,series-a,3/7/2012,2012-03,2012-Q1,2012," $9,900,000.00 "
no,medical,USA,MA,Boston,Lexington,/financial-organization/arcus-ventures,Arcus Ventures,,USA,NY,New York,New York,series-c+,8/10/2011,2011-08,2011-Q3,2011," $23,000,000.00 "
no,medical,USA,CT,Orange,Orange,/financial-organization/ares-capital-corporation,Ares Capital Corporation,,USA,CA,Los Angeles,Los Angeles,other,9/30/2012,2012-09,2012-Q3,2012," $11,000,000.00 "
no,health,USA,CA,SF Bay,San Francisco,/financial-organization/argo-global-capital,Argo Global Capital,,USA,MA,Boston,Wakefield,private-equity,3/18/2006,2006-03,2006-Q1,2006," $18,000,000.00 "
no,biotech,USA,CA,SF Bay,Santa Clara,/financial-organization/argonaut-private-equity,Argonaut Private Equity,,IND,OK,Tulsa,Tulsa,series-c+,5/4/2011,2011-05,2011-Q2,2011," $28,800,000.00 "
no,biotech,USA,PA,Pittsburg,Pittsburgh,/financial-organization/ariel-savannah-angel-partners,Ariel Savannah Angel Partners,,,,unknown,,series-a,4/18/2011,2011-04,2011-Q2,2011," $2,400,000.00 "
no,biotech,USA,CA,San Diego,San Diego,/financial-organization/arnerich-massena-associates,Arnerich Massena & Associates,,USA,OR,Portland,Portland,series-c+,2/21/2008,2008-02,2008-Q1,2008," $28,800,000.00 "
no,medical,USA,NH,Portsmouth,Portsmouth,/financial-organization/arnerich-massena-associates,Arnerich Massena & Associates,,USA,OR,Portland,Portland,venture,1/7/2010,2010-01,2010-Q1,2010," $15,000,000.00 "
no,biotech,USA,CA,San Diego,San Diego,/financial-organization/arnerich-massena-associates,Arnerich Massena & Associates,,USA,OR,Portland,Portland,series-c+,1/21/2010,2010-01,2010-Q1,2010," $16,600,000.00 "
no,biotech,USA,CA,San Diego,San Diego,/financial-organization/arnerich-massena-associates,Arnerich Massena & Associates,,USA,OR,Portland,Portland,venture,9/1/2010,2010-09,2010-Q3,2010," $7,000,000.00 "
no,medical,USA,NC,Raleigh-Durham,Durham,/financial-organization/arnerich-massena-associates,Arnerich Massena & Associates,,USA,OR,Portland,Portland,series-c+,9/14/2010,2010-09,2010-Q3,2010," $20,000,000.00 "
no,biotech,USA,OH,Cincinnati,Cincinnati,/financial-organization/arsenal-venture-partners,Arsenal Venture Partners,,USA,FL,Orlando,Winter Park,series-a,3/13/2012,2012-03,2012-Q1,2012," $13,600,000.00 "
yes,biotech,USA,CA,SF Bay,Palo Alto,/financial-organization/artiman-ventures,Artiman Ventures,,USA,CA,SF Bay,East Palo Alto,venture,5/11/2011,2011-05,2011-Q2,2011," $60,000,000.00 "
no,health,USA,CA,SF Bay,San Francisco,/financial-organization/artis,ARTIS Ventures,,USA,CA,SF Bay,San Francisco,series-b,4/5/2011,2011-04,2011-Q2,2011," $23,000,000.00 "
no,health,USA,CA,SF Bay,San Francisco,/financial-organization/artis,ARTIS Ventures,,USA,CA,SF Bay,San Francisco,series-c+,6/28/2012,2012-06,2012-Q2,2012," $34,000,000.00 "
yes,health,USA,CA,SF Bay,San Francisco,/financial-organization/artis,ARTIS Ventures,,USA,CA,SF Bay,San Francisco,series-c+,9/24/2013,2013-09,2013-Q3,2013," $70,000,000.00 "
no,medical,USA,MA,Boston,Waltham,/financial-organization/ascension-health-ventures,Ascension Health Ventures,,USA,MO,Saint Louis,Clayton,series-b,10/16/2009,2009-10,2009-Q4,2009," $6,100,000.00 "
no,biotech,USA,MO,Saint Louis,St. Louis,/financial-organization/ascension-health-ventures,Ascension Health Ventures,,USA,MO,Saint Louis,Clayton,series-c+,8/3/2007,2007-08,2007-Q3,2007," $8,800,000.00 "
no,biotech,USA,WA,Seattle,Bothell,/financial-organization/ascension-health-ventures,Ascension Health Ventures,,USA,MO,Saint Louis,Clayton,series-c+,3/21/2006,2006-03,2006-Q1,2006," $26,000,000.00 "
no,medical,USA,MA,Boston,Waltham,/financial-organization/ascension-health-ventures,Ascension Health Ventures,,USA,MO,Saint Louis,Clayton,other,1/3/2011,2011-01,2011-Q1,2011," $3,000,000.00 "
no,biotech,USA,CA,SF Bay,Santa Rosa,/financial-organization/ascension-health-ventures,Ascension Health Ventures,,USA,MO,Saint Louis,Clayton,series-c+,2/14/2011,2011-02,2011-Q1,2011," $22,000,000.00 "
no,health,USA,CA,Los Angeles,Irvine,/financial-organization/ascension-health-ventures,Ascension Health Ventures,,USA,MO,Saint Louis,Clayton,series-b,1/31/2013,2013-01,2013-Q1,2013," $27,000,000.00 "
no,biotech,USA,MA,Boston,Woburn,/financial-organization/ascension-health-ventures,Ascension Health Ventures,,USA,MO,Saint Louis,Clayton,series-b,11/1/2011,2011-11,2011-Q4,2011," $7,500,000.00 "
no,health,USA,PA,Pittsburg,Pittsburgh,/financial-organization/ascension-health-ventures,Ascension Health Ventures,,USA,MO,Saint Louis,Clayton,venture,5/23/2012,2012-05,2012-Q2,2012," $12,000,000.00 "
no,biotech,USA,MA,Boston,"Bedford,",/financial-organization/ascension-health-ventures,Ascension Health Ventures,,USA,MO,Saint Louis,Clayton,series-c+,1/28/2013,2013-01,2013-Q1,2013," $23,800,000.00 "
no,health,USA,TN,Nashville,Brentwood,/financial-organization/ascension-health-ventures,Ascension Health Ventures,,USA,MO,Saint Louis,Clayton,venture,4/25/2013,2013-04,2013-Q2,2013,
no,health,USA,TX,Dallas,Plano,/financial-organization/ascension-health-ventures,Ascension Health Ventures,,USA,MO,Saint Louis,Clayton,venture,5/1/2013,2013-05,2013-Q2,2013,
no,biotech,USA,MA,Boston,"Bedford,",/financial-organization/ascension-health-ventures,Ascension Health Ventures,,USA,MO,Saint Louis,Clayton,series-c+,6/10/2013,2013-06,2013-Q2,2013," $8,500,000.00 "
no,biotech,USA,CA,SF Bay,Milpitas,/financial-organization/ascension-health-ventures,Ascension Health Ventures,,USA,MO,Saint Louis,Clayton,private-equity,7/31/2013,2013-07,2013-Q3,2013,
no,biotech,USA,CT,Shelton,Shelton,/financial-organization/ascent-biomedical-ventures,Ascent Biomedical Ventures,,USA,NY,New York,New York,series-c+,11/28/2006,2006-11,2006-Q4,2006," $19,000,000.00 "
no,biotech,USA,CT,Shelton,Shelton,/financial-organization/ascent-biomedical-ventures,Ascent Biomedical Ventures,,USA,NY,New York,New York,series-c+,7/21/2010,2010-07,2010-Q3,2010," $15,000,000.00 "
no,biotech,USA,CT,Shelton,Shelton,/financial-organization/ascent-biomedical-ventures,Ascent Biomedical Ventures,,USA,NY,New York,New York,series-b,12/21/2005,2005-12,2005-Q4,2005," $4,700,000.00 "
