Organization/Person Name,Number of Investments,Location,Exit Date,Categories,Last Funding Date, Last Funding Amount Currency (in USD) ,Last Funding Type
Capital Engine,,"New York, New York, United States",,"Health Care, Oil and Gas, Online Portals, Real Estate, SaaS, Venture Capital, Web Development",7/6/2017," $75,000.00 ",Seed
Leonard Green & Partners,4,"Los Angeles, California, United States",,"Health Care, Impact Investing, Retail",7/6/2017,,Private Equity
Equilume,1,"Kildare, Kildare, Ireland",,"Agriculture, Health Care, Veterinary",7/6/2017,,Venture - Series Unknown
Headspace,,"Santa Monica, California, United States",,"Health Care, Mobile Apps, Wellness",6/30/2017," $36,700,000.00 ",Series B
ZAI Lab,1,"Shanghai, Shanghai, China",9/20/2017,"Biotechnology, Health Care, Information Technology, Pharmaceutical",6/28/2017," $30,000,000.00 ",Series C
Glooko,1,"Mountain View, California, United States",,"Analytics, Diabetes, Health Care, mHealth, Mobile Apps, Software",6/27/2017," $35,000,000.00 ",Series C
Viceroy Capital Healthcare,,"Virgin, Utah, United States",,Health Care,6/8/2017," $5,400,000.00 ",Venture - Series Unknown
Flint Capital,51,"Boston, Massachusetts, United States",,"Artificial Intelligence, Cyber Security, Enterprise Software, Health Care, Internet of Things",6/1/2017," $30,000,000.00 ",Venture - Series Unknown
Deciphera Pharmaceuticals,1,"Waltham, Massachusetts, United States",9/27/2017,"Medical, Pharmaceutical, Therapeutics",6/1/2017," $52,000,000.00 ",Series C
Seed Health,1,"Venice, California, United States",,Health Care,6/1/2017,,Seed
MedMe,1,"Moscow, Moscow City, Russian Federation",,"Health Care, Health Diagnostics, Medical",5/22/2017,,Non-equity Assistance
Athenahealth,1,"Watertown, Massachusetts, United States",9/20/2007,"Enterprise Software, Health Care, Information Technology",5/18/2017,,Private Equity
Safeguard Scientifics,127,"Radnor, Pennsylvania, United States",4/14/1971,"Finance, Health Care, Venture Capital",5/12/2017," $75,000,000.00 ",Debt Financing
Dexcom,1,"San Diego, California, United States",4/14/2005,"Enterprise Software, Hardware, Health Care",5/9/2017," $350,000,000.00 ",Post-IPO Debt
Cannabics Pharmaceuticals,1,"Bethesda, Maryland, United States",6/20/2014,"Biotechnology, Health Diagnostics, Medical, Personal Health",5/6/2017," $3,000,000.00 ",Undisclosed
Pharmaceutical Product Development,1,"Wilmington, North Carolina, United States",,"Biotechnology, Medical Device, Pharmaceutical",4/27/2017,,Private Equity
Wacker Chemie,2,"München, Bayern, Germany",4/21/2006,"Chemical, Chemical Engineering, Health Care, Information Technology, Manufacturing",4/5/2017,,Seed
Haodf.com,1,"Beijing, Beijing, China",,"Health Care, Medical, Personal Health",3/31/2017," $200,000,000.00 ",Series D
Oregon Health & Science University,2,"Portland, Oregon, United States",,"Education, Health Care, Universities",3/29/2017," $2,000,000.00 ",Grant
ProMedica Health System,1,"Oregon, Ohio, United States",,"Health Care, Medical",3/29/2017," $4,375,000.00 ",Grant
Solvay,8,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",4/1/1999,"Advanced Materials, Chemical, Consumer Goods, Health Care, Industrial Manufacturing",3/24/2017,,Post-IPO Equity
MedTech,1,"Syracuse, New York, United States",,"Association, Biotechnology, Health Care, Hospitality, Medical, Non Profit, Pharmaceutical",3/21/2017,,Seed
EyeSouth Partners,4,"Atlanta, Georgia, United States",,"Health Care, Marketing, Professional Services",3/14/2017,,Venture - Series Unknown
iBaby Labs,1,"San Jose, California, United States",,"Consumer Electronics, Health Care, Mobile",3/8/2017," $430,000.00 ",Venture - Series Unknown
Biohaven Pharmaceutical,2,"New Haven, Connecticut, United States",5/5/2017,"Biotechnology, Health Care, Health Diagnostics, Neuroscience, Pharmaceutical",3/7/2017," $20,000,000.00 ",Venture - Series Unknown
JDRF (The Juvenile Diabetes Research Foundation),4,"New York, New York, United States",,"Health Care, Hedge Funds, Non Profit",3/3/2017," $3,000,000.00 ",Grant
North Carolina Biotechnology Center,11,"Alexander, North Carolina, United States",,"Biotechnology, Life Science, Non Profit",2/28/2017," $4,000,000.00 ",Grant
PMV Pharmaceuticals,2,"Redwood City, California, United States",,"Biopharma, Health Care, Medical Device",2/22/2017," $74,000,000.00 ",Series B
Bristol-Myers Squibb,13,"New York, New York, United States",1/1/1972,"Biotechnology, Health Care, Medical, Pharmaceutical",2/21/2017,,Private Equity
3 Rivers Capital,,"Pittsburgh, Pennsylvania, United States",,"Energy, Health Care, Manufacturing, Venture Capital",2/16/2017," $9,750,000.00 ",Venture - Series Unknown
KM Medical Software,1,"Cork, Cork, Ireland",,"Billing, Electronic Health Record (EHR), Health Care, iOS",2/13/2017,,Venture - Series Unknown
LNTS,,"Purchase, New York, United States",,"Health Care, Home Health Care",1/27/2017," $593,000.00 ",Seed
GenePeeks,1,"New York, New York, United States",,"Biotechnology, Genetics",1/25/2017," $4,500,000.00 ",Debt Financing
Delos,1,"New York, New York, United States",,"Health Care, Information Technology, Real Estate",1/17/2017," $36,393,000.00 ",Venture - Series Unknown
FiNC,3,"Tokyo, Tokyo, Japan",,"Artificial Intelligence, Fitness, Health Care, Nutrition, Social Media",1/13/2017," $17,400,000.00 ",Series C
Arrowhead Pharmaceuticals,1,"Pasadena, California, United States",10/20/2000,"Biotechnology, Electronics, Energy Storage, Nanotechnology",1/10/2017," $9,600,000.00 ",Post-IPO Equity
Max Ventures and Industries,2,"Noida, Uttar Pradesh, India",6/23/2016,"Chemical, Manufacturing, Medical",1/10/2017," $17,800,000.00 ",Post-IPO Equity
Westlake Chemical Corporation,1,"Houston, Texas, United States",8/11/2004,"Chemical, Manufacturing, Medical",1/7/2017,,Post-IPO Equity
Ascletis,2,"Chapel Hill, North Carolina, United States",7/26/2018,"Health Care, Medical, Therapeutics",1/3/2017," $100,000,000.00 ",Series B
Valneva,1,"Saint-herblain, Pays de la Loire, France",5/31/2013,"Biotechnology, Health Care, Medical",12/21/2016," $7,820,173.00 ",Post-IPO Equity
Bluebird Bio,1,"Cambridge, Massachusetts, United States",6/19/2013,"Biotechnology, Genetics, Health Diagnostics, Pharmaceutical",12/7/2016," $250,000,000.00 ",Post-IPO Equity
Cedars Sinai Medical Center,7,"Los Angeles, California, United States",,"Communities, Medical, Non Profit",12/7/2016," $7,300,000.00 ",Grant
Skyline Medical Inc.,1,"Eagan, Minnesota, United States",4/16/2010,"Health Care, Medical, Medical Device",12/1/2016," $2,000,000.00 ",Post-IPO Equity
Variantz,,"Singapore, Central Region, Singapore",,"Analytics, Health Care, Home Health Care, Internet of Things, Office Administration, Property Management, Real Estate, SaaS, Smart Building, Smart Home, Wellness",12/1/2016," $10,521.00 ",Seed
Novelion Therapeutics,1,"Vancouver, British Columbia, Canada",4/9/1999,"Biopharma, Biotechnology, Therapeutics",11/29/2016," $22,000,000.00 ",Post-IPO Equity
Sutter Health,4,"Sacramento, California, United States",,"Health Care, Hospital, Non Profit",11/22/2016," $1,200,000.00 ",Grant
Tragara,1,"San Diego, California, United States",,"Biotechnology, Health Care, Pharmaceutical",11/15/2016," $3,261,352.00 ",Venture - Series Unknown
MorphoSys,1,"Planegg, Bayern, Germany",4/18/2018,"Biotechnology, Health Diagnostics, Medical",11/6/2016," $127,558,094.00 ",Post-IPO Equity
eHealth Ventures,6,"Tel Aviv, Tel Aviv, Israel",,"Financial Services, Health Care, Innovation Management, Venture Capital",10/25/2016,,Corporate Round
Thrive Market,3,"Los Angeles, California, United States",,"Beauty, E-Commerce, Health Care, Retail, Shopping",10/18/2016," $10,000,000.00 ",Convertible Note
Inova Translational Medicine Institute,1,"Falls Church, Virginia, United States",,"Genetics, Health Care, Medical",10/3/2016," $9,500,000.00 ",Grant
Vidal Healthcare,2,"Bangalore, Karnataka, India",,"Fitness, Health Care",9/26/2016," $10,000,000.00 ",Venture - Series Unknown
Colgate Palmolive,3,"Mumbai, Maharashtra, India",1/13/1978,"Beauty, Consumer Goods, Health Care",9/21/2016,,Post-IPO Equity
Cogentix Medical,1,"Minnesota City, Minnesota, United States",12/24/1992,"Biotechnology, Health Care, Medical, Medical Device",9/16/2016," $25,000,000.00 ",Private Equity
Yosi,,"New York, New York, United States",,"Health Care, Information Technology, mHealth, Personal Health",9/15/2016," $650,000.00 ",Angel
Takeda Pharmaceutical,16,"Osaka, Osaka, Japan",5/14/1999,"Biotechnology, Health Care, Health Diagnostics, Medical",9/1/2016," $19,800,000.00 ",Grant
SalesPreso,1,"Melbourne, Victoria, Australia",,"Computer, Finance, FinTech, Information Technology, Marketing, Mobile Apps, Pharmaceutical, SaaS, Software, Telecommunications",8/26/2016," $1,512,859.00 ",Series A
Regeneron Pharmaceuticals,1,"Tarrytown, New York, United States",4/12/1991,"Biopharma, Biotechnology, Pharmaceutical",8/22/2016," $8,900,000.00 ",Post-IPO Equity
ThreeD Capital,,"Toronto, Ontario, Canada",10/13/2000,"Biotechnology, Internet, Training",8/17/2016," $600,000.00 ",Post-IPO Equity
Medtronic,63,"Minneapolis, Minnesota, United States",1/13/1978,"Biotechnology, Health Care, Health Diagnostics, Manufacturing, Medical, Medical Device",8/15/2016," $20,000,000.00 ",Post-IPO Equity
inVentiv Health,2,"Burlington, Massachusetts, United States",5/10/2017,"Clinical Trials, Health Care, Pharmaceutical",8/1/2016,,Private Equity
Ingenza,5,"Edinburgh, Edinburgh, City of, United Kingdom",,"Biotechnology, Health Care, Medical",8/1/2016," $55,831.00 ",Grant
Health Resources and Services Administration,5,"Rockville, Maryland, United States",,"Association, Government, Health Care, Office Administration",7/26/2016," $36,000,000.00 ",Grant
iCarbonX,5,"Shenzhen, Guangdong, China",,"Artificial Intelligence, Biotechnology, Health Care",7/15/2016," $45,000,000.00 ",Series A
OpGen,1,"Gaithersburg, Maryland, United States",4/24/2015,"Analytics, Biotechnology, Genetics, Health Care",6/1/2016," $10,400,000.00 ",Post-IPO Equity
Sothic Bioscience Limited,,"Cork, Cork, Ireland",,"Bioinformatics, Biotechnology, Medical",5/23/2016,,Seed
Caribou Biosciences,1,"Berkeley, California, United States",,"Biopharma, Biotechnology, Genetics, Health Care",5/16/2016," $30,000,000.00 ",Series B
IPG,,"Alpharetta, Georgia, United States",,"Advertising, Health Care, Marketing, Medical Device",5/3/2016," $15,000,000.00 ",Debt Financing
Lumos Pharma,,"Austin, Texas, United States",,"Biotechnology, Clinical Trials, Health Care",4/6/2016," $34,000,000.00 ",Series B
Human Longevity,2,"San Diego, California, United States",,"Biotechnology, Genetics, Health Care, Health Diagnostics",4/5/2016," $220,000,000.00 ",Series B
The Children's Hospital of Philadelphia,5,"Philadelphia, Pennsylvania, United States",,"Child Care, Health Care, Hospital, Non Profit",3/30/2016," $1,000,000.00 ",Grant
Genae,1,"Antwerp, Antwerpen, Belgium",,"Health Care, Medical Device",3/21/2016,,Venture - Series Unknown
Envisia Therapeutics,1,"Morrisville, North Carolina, United States",,"Biotechnology, Medical, Therapeutics",3/17/2016," $16,500,000.00 ",Series A
Becton Dickinson,3,"Franklin Lakes, New Jersey, United States",1/6/2015,"Biotechnology, Health Care, Medical, Medical Device",3/8/2016,,Private Equity
Soba Capital,,"New York, New York, United States",,Medical,3/7/2016,,Equity Crowdfunding
WuXi AppTec,23,"Shanghai, Shanghai, China",12/6/2018,"Biotechnology, Health Care, Medical Device, Pharmaceutical",3/6/2016," $1,500,000,000.00 ",Debt Financing
Proteus Digital Health,1,"Redwood City, California, United States",,"Health Care, Mobile, Pharmaceutical, Software",2/26/2016," $110,000,000.00 ",Series H
BTG,8,"London, England, United Kingdom",11/20/2018,"Biopharma, Emergency Medicine, Health Care, Medical, Pharmaceutical",2/26/2016," $4,069,671.00 ",Venture - Series Unknown
HRA Pharma,1,"Paris, Ile-de-France, France",,"Biotechnology, Pharmaceutical, Therapeutics",2/19/2016,,Private Equity
PCCI,1,"Dallas, Texas, United States",,"Health Care, Predictive Analytics, Software",2/10/2016," $18,576,210.00 ",Venture - Series Unknown
NetScientific,2,"White Plains, New York, United States",9/27/2013,"Biotechnology, Digital Marketing, Health Diagnostics, Hospital, Private Social Networking, Product Research, Universities, Venture Capital",1/18/2016,,Non-equity Assistance
MusclePharm,1,"Denver, Colorado, United States",4/23/2010,"Health Care, Pharmaceutical, Sports",1/14/2016," $10,000,000.00 ",Post-IPO Equity
Advantia Health,1,"Silver Spring, Maryland, United States",,"Health Care, Hospital",1/8/2016,,Venture - Series Unknown
Flatiron Health,1,"New York, New York, United States",2/15/2018,"Cloud Computing, Health Care, Health Diagnostics, Personal Health, Software",1/6/2016," $175,000,000.00 ",Series C
Sonoma Brands,7,"Sonoma, California, United States",,"Health Care, Medical, Wellness",1/5/2016,,Undisclosed
NantHealth,2,"Culver City, California, United States",6/3/2016,"Health Care, Health Diagnostics, Medical",1/1/2016," $52,500,000.00 ",Venture - Series Unknown
INTCO Medical,1,"Zibo, Shandong, China",,"Health Care, Manufacturing, Medical",12/31/2015,,Series B
Compass Group PLC,1,"Chertsey, Surrey, United Kingdom",2/9/2001,"Apps, Food and Beverage, Health Care, Hospitality, mHealth",12/16/2015," $1,200,000.00 ",Grant
Profectus Biosciences,1,"Baltimore, Maryland, United States",,"Analytics, Biotechnology, Electronic Health Record (EHR), Health Care, Health Diagnostics",12/9/2015," $4,600,000.00 ",Grant
Sinopharm Group,3,"Shanghai, Shanghai, China",10/2/2009,Health Care,12/4/2015,,Post-IPO Equity
Fresco Capital,76,"Hong Kong, Hong Kong Island, Hong Kong",,"Education, Financial Services, Health Care, Information Technology, Internet, Software, Venture Capital",12/3/2015,,Seed
angelMD,12,"Seattle, Washington, United States",,"Angel Investment, Financial Services, Funding Platform, Health Care",12/1/2015," $4,200,000.00 ",Debt Financing
Barnraiser,,"Sausalito, California, United States",,"Content Discovery, Health Care, Marketplace",10/15/2015," $2,000,000.00 ",Angel
GoHealth,2,"Chicago, Illinois, United States",8/18/2019,"Health Care, Health Insurance, Insurance, Software",10/6/2015," $25,375,733.00 ",Venture - Series Unknown
ZetrOZ,1,"Trumbull, Connecticut, United States",,"Biotechnology, Hospital, Information Technology, Medical Device, Software",10/1/2015," $10,000.00 ",Angel
Medinet Co,1,"Kahoku, Miyagi, Japan",10/8/2003,"Health Care, Medical, Therapeutics",9/29/2015," $4,267,612.00 ",Post-IPO Equity
U.S. Environmental Protection Agency,4,"Washington, District of Columbia, United States",,"Clean Energy, CleanTech, GreenTech, Health Care",9/24/2015," $400,000.00 ",Grant
Yidu Cloud,1,"Beijing, Beijing, China",,"Big Data, Database, Health Care",8/15/2015,,Series B
BioMotiv,3,"Cleveland, Ohio, United States",,"Biotechnology, Life Science, Medical, Therapeutics",8/6/2015," $30,626,790.00 ",Venture - Series Unknown
Momentum Bioscience,1,"Reading, Reading, United Kingdom",,"Biotechnology, Hospital, Medical Device, Venture Capital",7/17/2015,,Series B
Envelp,13,"Mexico City, Distrito Federal, Mexico",,"Health Care, Venture Capital",7/14/2015," $5,000,000.00 ",Seed
Clinect Healthcare,,"Charlotte, North Carolina, United States",,"Health Care, Hospital, Medical, Professional Services",7/9/2015,,Seed
Allscripts,5,"Chicago, Illinois, United States",7/23/1999,"Enterprise Software, Health Care, Information Technology, Software",6/30/2015," $100,000,000.00 ",Post-IPO Equity
HBL Hadasit Bio Holdings,7,"Jerusalem, Yerushalayim, Israel",2/25/2010,"Biopharma, Biotechnology, Life Science",6/28/2015," $2,000,000.00 ",Post-IPO Equity
Castlight Health,2,"San Francisco, California, United States",3/17/2014,"Health Care, Information Technology, Wellness",6/25/2015," $3,100,000.00 ",Venture - Series Unknown
BGI Genomics,7,"Shenzhen, Guangdong, China",,"Bioinformatics, Biotechnology, Genetics, Health Care, Life Science, Medical, Pharmaceutical",6/1/2015," $323,508,593.00 ",Venture - Series Unknown
NantOmics,1,"Culver City, California, United States",,"Alternative Medicine, Biotechnology, Cloud Data Services, Genetics, Life Science",6/1/2015," $250,800,000.00 ",Series A
Hennessey Wellness,1,"San Francisco, California, United States",,"Fitness, Health Care, Software",5/20/2015," $1,600,000.00 ",Venture - Series Unknown
Bladder Health Ventures,,"Jackson, Mississippi, United States",,"Biotechnology, Medical, Pharmaceutical",5/20/2015," $200,000.00 ",Venture - Series Unknown
UCB Pharma,6,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",4/1/1999,"Biotechnology, Health Care, Pharmaceutical",5/13/2015," $787,628.00 ",Venture - Series Unknown
Bavarian Nordic,1,"Kvistgaard, Hovedstaden, Denmark",12/5/2003,"Biotechnology, Health Care, Medical",5/12/2015," $56,080,594.00 ",Post-IPO Debt
Huami,3,"Beijing, Beijing, China",2/8/2018,"Fitness, Health Care, Internet of Things, Lifestyle, Wearables, Wellness",4/29/2015," $35,000,000.00 ",Series B
Health Wildcatters,24,"Dallas, Texas, United States",,"Finance, Health Care, Health Diagnostics, Information Technology",4/28/2015," $4,500,000.00 ",Venture - Series Unknown
Silence Therapeutics,1,"London, England, United Kingdom",12/18/2009,"Biotechnology, Information Technology, Medical, Therapeutics",4/8/2015," $58,200,000.00 ",Post-IPO Equity
BioLight Israeli Life Sciences Investments Ltd,1,"Tel Aviv, Tel Aviv, Israel",2/10/2016,"Biotechnology, Health Diagnostics, Life Science",4/2/2015," $6,200,000.00 ",Post-IPO Equity
GPB Capital Holdings,4,"New York, New York, United States",,"Automotive, Health Care, Information Technology, Real Estate, Real Estate Investment, Waste Management",3/27/2015," $32,000,000.00 ",Venture - Series Unknown
Welsh Development Agency,6,"Cardiff, Cardiff, United Kingdom",,"Business Development, Business Intelligence, Government, GovTech, Health Care, Local",3/26/2015," $18,558.00 ",Grant
Dyadic International,2,"Jupiter, Florida, United States",1/25/2010,"Biopharma, Biotechnology, Manufacturing",3/9/2015," $2,000,000.00 ",Convertible Note
Malin Corporation,12,"Dublin, Dublin, Ireland",,"Biotechnology, Health Care, Life Science",3/1/2015," $55,915,152.00 ",Venture - Series Unknown
"Rainbow Medical, Ltd.",2,"Herzliya, Tel Aviv, Israel",,"Health Care, Medical, Medical Device",2/16/2015," $25,000,000.00 ",Venture - Series Unknown
Intrexon,1,"Blacksburg, Virginia, United States",8/8/2013,"Biotechnology, Life Science, Medical, Therapeutics",1/28/2015," $57,500,000.00 ",Post-IPO Equity
AXON Connected,1,"Earlysville, Virginia, United States",,"Bioinformatics, Biotechnology, Computer, Electronics, Government, Information Technology, Nanotechnology",1/11/2015," $2,100,000.00 ",Venture - Series Unknown
Red Ventures,3,"Fort Mill, South Carolina, United States",,"Advertising, Analytics, Digital Media, Financial Services, Health Care, Information Technology, Marketing, Marketing Automation, Media and Entertainment, SEO, Web Development",1/7/2015," $250,000,000.00 ",Private Equity
Rock Health,100,"San Francisco, California, United States",,"Apps, Health Care, Mobile, Venture Capital",1/5/2015,,Seed
Axxam,1,"Milan, Lombardia, Italy",,"Biotechnology, Medical Device, Pharmaceutical",1/5/2015," $340,000.00 ",Grant
Ping An,17,"Shenzhen, Guangdong, China",3/9/2007,"Banking, Financial Services, Health Care, Insurance, Medical",12/1/2014," $4,750,000,000.00 ",Post-IPO Equity
MATTER,1,"Chicago, Illinois, United States",,"Health Care, Life Science, Medical",11/19/2014," $4,400,000.00 ",Venture - Series Unknown
Montefiore Medical Center,1,"Bronx, New York, United States",,"Health Care, Medical, Pharmaceutical",11/13/2014," $3,500,000.00 ",Grant
Ascendis,1,"Gauteng, NA - South Africa, South Africa",11/29/2013,"Developer Platform, Health Care, Marketing",11/1/2014,,Post-IPO Equity
Bioventus,1,"Durham, North Carolina, United States",,"Health Care, Health Diagnostics, Medical Device",10/28/2014," $12,000,000.00 ",Debt Financing
CBSHealthWatch,3,"New York, New York, United States",9/29/2005,"Health Care, Information Services, Internet, Software",9/26/2014," $14,000,000.00 ",Grant
AlphaLab,105,"Pittsburgh, Pennsylvania, United States",,"Advertising, Augmented Reality, B2B, B2C, Biotechnology, E-Commerce, Energy, Enterprise, Finance, FinTech, Life Science, Marketing, Mobile, Retail Technology, Virtual Reality",9/17/2014," $800,000.00 ",Grant
Ligand Pharmaceuticals,3,"San Diego, California, United States",12/2/1994,"Biotechnology, Medical, Pharmaceutical",8/14/2014," $225,000,000.00 ",Post-IPO Debt
Juno Therapeutics,2,"Seattle, Washington, United States",12/19/2014,"Biotechnology, Health Care, Therapeutics, Wellness",8/5/2014," $134,000,000.00 ",Series B
Yield10 Bioscience,1,"Woburn, Massachusetts, United States",11/17/2006,"Biotechnology, Chemical, Energy",8/4/2014," $25,000,000.00 ",Post-IPO Equity
Matrix Asset Management,4,"Vancouver, British Columbia, Canada",,"Asset Management, Biotechnology, Venture Capital",7/30/2014," $362,250.00 ",Debt Financing
Austen BioInnovation Institute,,"Akron, Ohio, United States",,"Biotechnology, Health Care, Medical Device",7/9/2014," $5,000,000.00 ",Grant
Retrophin,1,"New York, New York, United States",7/17/2009,"Biotechnology, Health Care, Medical",7/1/2014," $45,000,000.00 ",Post-IPO Debt
HCA,11,"Nashville, Tennessee, United States",3/18/2011,"Biotechnology, Health Care, Hospital",6/25/2014," $3,200,000.00 ",Debt Financing
Envision Healthcare,1,"Nashville, Tennessee, United States",8/14/2013,"Health Care, Health Diagnostics, Hospital, Medical",6/18/2014," $750,000,000.00 ",Post-IPO Equity
Lumos Labs,1,"San Francisco, California, United States",,"Health Care, Neuroscience, Wellness",6/13/2014,,Secondary Market
Mediclinic International,1,"Stellenbosch, NA - South Africa, South Africa",10/10/2003,"Health Care, Hospital, Medical",6/12/2014," $300,000,000.00 ",Post-IPO Equity
Investor's Circle,9,"San Francisco, California, United States",,"Business Development, Communities, Education, Financial Services, Health Care, Impact Investing, Venture Capital",5/29/2014," $3,100,000.00 ",Venture - Series Unknown
NantWorks,8,"Culver City, California, United States",,"Biotechnology, Health Care, Semiconductor",5/18/2014," $15,000,000.00 ",Venture - Series Unknown
Enhancement Medical,,"Wauwatosa, Wisconsin, United States",,"Alternative Medicine, Health Care, Medical, Personal Health, Pharmaceutical",5/7/2014," $530,000.00 ",Venture - Series Unknown
Knight Therapeutics,3,"Westmount, Quebec, Canada",4/30/2014,"Biotechnology, Medical, Pharmaceutical",4/10/2014," $180,000,000.00 ",Post-IPO Equity
Connecticut Children’s Medical Center,1,"Hartford, Connecticut, United States",,"Health Care, Hospital, Medical",4/7/2014," $250,000.00 ",Grant
CitiusTech,1,"Princeton, New Jersey, United States",,"Health Care, Information Technology, Software",3/20/2014,,Private Equity
Anzu,1,"Scottsdale, Arizona, United States",,"Enterprise Software, Incubators, Medical",3/4/2014," $1,741,241.00 ",Venture - Series Unknown
UnityPoint Health,1,"West Des Moines, Iowa, United States",,"Health Care, Hospital",2/12/2014," $187,270.00 ",Grant
Christiana Care Health Systems,1,"Wilmington, Delaware, United States",,"Health Care, Hospital, Non Profit",2/6/2014," $213,094.00 ",Grant
Iron Yard Ventures,46,"Greenville, South Carolina, United States",,"EdTech, Health Care, Hospitality, Software",1/24/2014," $750,000.00 ",Series A
American Red Cross,1,"Washington, District of Columbia, United States",,"Health Care, Non Profit, Search Engine",1/22/2014," $5,500.00 ",Grant
Seattle Genetics,1,"Bothell, Washington, United States",3/16/2001,"Biotechnology, Health Care, Therapeutics",1/17/2014," $9,000,000.00 ",Post-IPO Equity
Memorial Sloan - Kettering Cancer Center,3,"New York, New York, United States",,"Health Care, Hospital, Life Science",1/5/2014," $90,000,000.00 ",Grant
Cellular Bioengineering,1,"Honolulu, Hawaii, United States",,"Biotechnology, Clinical Trials",1/1/2014," $2,000,000.00 ",Venture - Series Unknown
Startupbootcamp HighTechXL,27,"Eindhoven, Noord-Brabant, The Netherlands",,"3D Printing, Advanced Materials, Energy, Hardware, Health Care, Incubators, Internet of Things, Robotics",1/1/2014,,Seed
Salix Pharmaceuticals,1,"Raleigh, North Carolina, United States",11/20/2000,"Health Care, Medical, Pharmaceutical",12/27/2013," $750,000,000.00 ",Debt Financing
Patient-Centered Outcomes Research Institute,1,"Washington, District of Columbia, United States",,"Health Care, Information Technology, Medical",12/22/2013," $191,000,000.00 ",Grant
AcelRx Pharmaceuticals,1,"Redwood City, California, United States",2/18/2011,"Biotechnology, Health Care, Pharmaceutical",12/19/2013," $40,000,000.00 ",Debt Financing
Children's Health,2,"Dallas, Texas, United States",,"Association, Health Care, Hospital, Medical",12/2/2013," $19,000,000.00 ",Grant
University of Nebraska Medical Center,1,"Omaha, Nebraska, United States",,"Education, Health Care, Medical",9/18/2013," $11,200,000.00 ",Grant
NEA,17,"Norcross, Georgia, United States",,"Computer, Medical, Software",9/11/2013,,Private Equity
North Shore InnoVentures,,"Beverly, Massachusetts, United States",,"Biotechnology, Incubators",9/5/2013," $60,000.00 ",Grant
StartX (Stanford-StartX Fund),233,"Palo Alto, California, United States",,"Artificial Intelligence, Automotive, Big Data, Bioinformatics, Biotechnology, Computer Vision, Consumer Software, E-Commerce, Education, Enterprise Software, Finance, Financial Services, Hardware, Internet, Internet of Things, Machine Learning, Medical Device, Non Profit, Venture Capital",9/4/2013," $3,600,000.00 ",Grant
Heliae,1,"Gilbert, Arizona, United States",,"Biotechnology, Nutrition, Therapeutics",9/3/2013," $80,000,000.00 ",Venture - Series Unknown
Health 100,2,"Xuhui, Shanghai, China",3/30/2015,"Health Care, Health Diagnostics, Medical",9/3/2013," $49,000,000.00 ",Private Equity
IMA Group,1,"Castenaso, Emilia-Romagna, Italy",4/1/1999,"Industrial Automation, Machinery Manufacturing, Manufacturing, Pharmaceutical",9/3/2013,,Post-IPO Equity
Fitbit,2,"San Francisco, California, United States",6/19/2015,"Cloud Computing, Fitness, Health Care, Personal Health, Wearables",8/13/2013," $43,000,000.00 ",Series D
Tenax Therapeutics,1,"Morrisville, North Carolina, United States",1/22/2010,"Biotechnology, Health Care, Therapeutics",7/22/2013," $5,400,000.00 ",Post-IPO Equity
Quintiles,2,"Austin, Texas, United States",6/9/2013,"Biotechnology, Health Care, Pharmaceutical",6/12/2013," $1,000,000.00 ",Grant
Flashstarts,26,"Cleveland, Ohio, United States",,"Automotive, Finance, Health Care, Incubators, Software, Venture Capital",6/1/2013," $1,250,000.00 ",Angel
Tianma Medical Group,1,"Suzhou, Jiangsu, China",,"Biotechnology, Chemical, Medical",6/1/2013," $12,529,366.00 ",Venture - Series Unknown
iKang Healthcare Group,2,"Beijing, Beijing, China",4/10/2014,"Health Care, Medical, Wellness",5/1/2013," $100,000,000.00 ",Private Equity
HELIX BIOMEDIX,1,"Bothell, Washington, United States",12/8/2011,"Biotechnology, Medical, Medical Device",5/1/2013," $500,000.00 ",Venture - Series Unknown
Cardiovascular Systems,1,"Saint Paul, Minnesota, United States",7/7/2006,"Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device",3/12/2013," $2,000,000.00 ",Convertible Note
HESKA,1,"Loveland, Colorado, United States",7/11/1997,"Biotechnology, Medical Device, Pet",3/5/2013," $3,570,000.00 ",Venture - Series Unknown
OPKO Health,4,"Miami, Florida, United States",6/22/2007,"Biotechnology, Health Diagnostics, Pharmaceutical",2/15/2013," $175,000,000.00 ",Post-IPO Debt
RingMD,1,"Singapore, Central Region, Singapore",,"Apps, Health Care, Medical",2/8/2013," $500,000.00 ",Seed
Synthetic Genomics,1,"La Jolla, California, United States",,"Biotechnology, Health Care, Medical",2/5/2013," $10,000,001.00 ",Series B
Betta Pharmaceuticals,2,"Hangzhou, Zhejiang, China",11/8/2016,"Health Care, Medical, Pharmaceutical",1/1/2013,,Series B
BRAIN,1,"Zwingenberg, Hessen, Germany",2/10/2016,"Biotechnology, Chemical, Pharmaceutical",11/27/2012," $77,632,820.00 ",Private Equity
Applied Genetics Technologies Corporation,1,"Alachua, Florida, United States",4/4/2014,"Biotechnology, Genetics, Pharmaceutical",11/19/2012," $37,500,000.00 ",Series B
Mayne Pharma,1,"Salisbury, New South Wales, Australia",7/6/2007,"Biotechnology, Health Care, Pharmaceutical",10/12/2012," $2,705,000.00 ",Post-IPO Equity
